"","statistic","p.value","parameter","method","p_BH","significant"
"X91776_832.24_12.836_NA;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",56.4915055248619,2.31541325171733e-10,6,"Kruskal-Wallis rank sum test",7.25921975331515e-08,"Significant"
"X79714_207.174_10.272_NA;b-Caryophyllene oxide",55.686525475752,3.36825627678433e-10,6,"Kruskal-Wallis rank sum test",1.02080620228411e-07,"Significant"
"X89535_1223.342_12.013_NA;(2S,3S,4S,5R,6R)-6-[[(3S,4S,6aR,6bS,8R,8aR,9R,10R,12aS,14bR)-8a-(acetyloxymethyl)-8,9-dihydroxy-4-(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-10-[(E)-2-methylbut-2-enoyl]oxy-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-4-hydroxy-3,5-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]oxane-2-carboxylic acid",55.472539390219,3.72089586261882e-10,6,"Kruskal-Wallis rank sum test",1.09130274783646e-07,"Significant"
"X53604_426.866_6.925_NA",55.1167412775281,4.390568206831e-10,6,"Kruskal-Wallis rank sum test",1.24747019176586e-07,"Significant"
"X88170_906.258_11.615_NA;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",55.038099233834,4.55409771476663e-10,6,"Kruskal-Wallis rank sum test",1.25472292189873e-07,"Significant"
"X38623_287.232_5.423_NA",54.920470124821,4.81010166626291e-10,6,"Kruskal-Wallis rank sum test",1.28627777499007e-07,"Significant"
"X90453_1222.343_12.419_NA;(2S,3S,4S,5R,6R)-6-[[(3S,4S,6aR,6bS,8R,8aR,9R,10R,12aS,14bR)-8a-(acetyloxymethyl)-8,9-dihydroxy-4-(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-10-[(E)-2-methylbut-2-enoyl]oxy-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-4-hydroxy-3,5-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]oxane-2-carboxylic acid",54.7622135256804,5.17730701118137e-10,6,"Kruskal-Wallis rank sum test",1.34491643844746e-07,"Significant"
"X47253_300.195_6.208_NA",53.8730219705224,7.82514447697926e-10,6,"Kruskal-Wallis rank sum test",1.97628371068598e-07,"Significant"
"X63776_310.216_8.237_NA",53.3582808025084,9.93660985005277e-10,6,"Kruskal-Wallis rank sum test",2.44172045288324e-07,"Significant"
"X83437_221.19_10.686_NA;Spectral Match to (-)-Isolongifolol from NIST14",52.9993554327808,1.17364111669837e-09,6,"Kruskal-Wallis rank sum test",2.80809079816358e-07,"Significant"
"X72626_514.301_9.484_NA",52.4575404133416,1.50869436021112e-09,6,"Kruskal-Wallis rank sum test",3.46718134397062e-07,"Significant"
"X86594_755.487_11.127_NA",52.4094199684982,1.54270778555581e-09,6,"Kruskal-Wallis rank sum test",3.46718134397062e-07,"Significant"
"X78552_189.127_10.145_NA;Spectral Match to Jasmine lactone from NIST14",52.3805069572335,1.56351116479097e-09,6,"Kruskal-Wallis rank sum test",3.46718134397062e-07,"Significant"
"X11821_178.122_3.041_NA",51.599007571107,2.24515147260651e-09,6,"Kruskal-Wallis rank sum test",4.86021837831866e-07,"Significant"
"X55328_312.232_7.138_NA",51.4176806629121,2.44163616536817e-09,6,"Kruskal-Wallis rank sum test",5.16264093384357e-07,"Significant"
"X83124_291.195_10.586_NA",51.1479818907305,2.76601786439365e-09,6,"Kruskal-Wallis rank sum test",5.71559873251524e-07,"Significant"
"X56362_301.07_7.267_NA",50.4024017802333,3.90393045586541e-09,6,"Kruskal-Wallis rank sum test",7.87898154953547e-07,"Significant"
"X36504_214.191_5.227_NA",50.3572027828933,3.98628630970778e-09,6,"Kruskal-Wallis rank sum test",7.87898154953547e-07,"Significant"
"X82135_435.252_10.621_NA",49.7455801104973,5.28675712262937e-09,6,"Kruskal-Wallis rank sum test",1.02270629274354e-06,"Significant"
"X51236_576.389_6.653_NA",49.6012482095356,5.65077683570079e-09,6,"Kruskal-Wallis rank sum test",1.07035131229566e-06,"Significant"
"X11850_195.087_3.211_NA",49.290339165132,6.52198576359782e-09,6,"Kruskal-Wallis rank sum test",1.21016111352309e-06,"Significant"
"X85234_704.546_10.798_NA",49.0247877020666,7.37126060836727e-09,6,"Kruskal-Wallis rank sum test",1.32275512102725e-06,"Significant"
"X90590_871.572_12.385_Pheophytin a;Chlorophyll a",49.0105560671169,7.41976585706005e-09,6,"Kruskal-Wallis rank sum test",1.32275512102725e-06,"Significant"
"X42031_202.191_5.73_NA",48.0682397176182,1.14509482704061e-08,6,"Kruskal-Wallis rank sum test",2.00215426297178e-06,"Significant"
"X13982_232.202_3.272_NA",47.9979289605829,1.18274350402666e-08,6,"Kruskal-Wallis rank sum test",2.02896300728498e-06,"Significant"
"X89570_907.259_12.019_NA;2,2,6b,9,9,12a-hexamethyl-4a-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-10-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-6a-carboxylic acid",47.6103846940864,1.41350315071189e-08,6,"Kruskal-Wallis rank sum test",2.37992049005046e-06,"Significant"
"X78984_219.174_10.107_NA;Massbank:AC000287 Walleminone|(1R,4S,5S,6R,9R)-5,6-dihydroxy-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undecan-3-one",47.5436336198076,1.45755185312061e-08,6,"Kruskal-Wallis rank sum test",2.38857665849242e-06,"Significant"
"X88168_907.259_11.653_NA;THEAFLAVIN DIGALLATE",47.5233783507265,1.47118667922983e-08,6,"Kruskal-Wallis rank sum test",2.38857665849242e-06,"Significant"
"X84748_363.31_10.856_NA;Massbank:LU122303 2-Ethylhexyl diphenyl phosphate",47.403537446286,1.55449706907078e-08,6,"Kruskal-Wallis rank sum test",2.47955918455991e-06,"Significant"
"X88761_906.258_11.786_NA;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",47.2167688993237,1.69379828638021e-08,6,"Kruskal-Wallis rank sum test",2.65517483099464e-06,"Significant"
"X2299_355.113_0.997_NA",47.1201324943729,1.77068659539022e-08,6,"Kruskal-Wallis rank sum test",2.72865805513353e-06,"Significant"
"X74057_244.263_9.666_NA",46.8746006102619,1.98204219003896e-08,6,"Kruskal-Wallis rank sum test",3.00345459863904e-06,"Significant"
"X84654_581.399_10.907_NA",46.6449432166974,2.20241012048194e-08,6,"Kruskal-Wallis rank sum test",3.22045162655719e-06,"Significant"
"X33200_260.196_4.886_NA",46.6320851237979,2.21544544768134e-08,6,"Kruskal-Wallis rank sum test",3.22045162655719e-06,"Significant"
"X76069_325.2_10.038_NA;2'-Hydroxy-a-naphthoflavone CollisionEnergy:205060",46.6163469408635,2.23150519658054e-08,6,"Kruskal-Wallis rank sum test",3.22045162655719e-06,"Significant"
"X91357_980.277_12.674_NA;(2S,3R,4S,5S,6R)-2-[(2R,3R,4S,5S,6R)-2-[[(3S,6S,8R,10R,12R,13R,14R,17S)-3,12-dihydroxy-4,4,8,10,14-pentamethyl-17-[(2S)-6-methyl-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhept-5-en-2-yl]-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-6-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",46.5475751995089,2.30305345227811e-08,6,"Kruskal-Wallis rank sum test",3.27177531064259e-06,"Significant"
"X90811_361.079_12.46_NA",46.1831875383671,2.72205522826741e-08,6,"Kruskal-Wallis rank sum test",3.80752709775496e-06,"Significant"
"X77562_370.258_10.042_NA",46.1156512175157,2.8076698502326e-08,6,"Kruskal-Wallis rank sum test",3.86777792095679e-06,"Significant"
"X23648_400.284_4.143_NA",46.0770590341723,2.85779108948651e-08,6,"Kruskal-Wallis rank sum test",3.87806516203154e-06,"Significant"
"X52780_302.232_6.83_NA;Massbank:RP024902 Decanoyl-L-Carnitine|Decanoylcarnitine|3-decanoyloxy-4-(trimethylazaniumyl)butanoate",45.7724959075098,3.28590644797507e-08,6,"Kruskal-Wallis rank sum test",4.39345020955725e-06,"Significant"
"X80036_203.143_10.307_NA",45.6776933701658,3.43177603774831e-08,6,"Kruskal-Wallis rank sum test",4.52198662829096e-06,"Significant"
"X90725_982.276_12.376_NA;[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] 9-(hydroxymethyl)-2,2,6a,6b,9,12a-hexamethyl-10-[3,4,5-trihydroxy-6-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxymethyl]oxan-2-yl]oxy-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate",45.592715367301,3.5680004317784e-08,6,"Kruskal-Wallis rank sum test",4.63432284653274e-06,"Significant"
"X54684_180.138_7.059_NA",45.5433778391651,3.64954813874698e-08,6,"Kruskal-Wallis rank sum test",4.67347770105459e-06,"Significant"
"X13725_194.103_3.24_NA",45.2422651933701,4.18905483946377e-08,6,"Kruskal-Wallis rank sum test",5.28984536116731e-06,"Significant"
"X80950_313.273_10.391_NA",44.062193063229,7.1851124248714e-08,6,"Kruskal-Wallis rank sum test",8.94890988588092e-06,"Significant"
"X77559_293.174_10.026_NA;dihydroauroglaucin",43.7193472478002,8.40242631970483e-08,6,"Kruskal-Wallis rank sum test",1.03236297430752e-05,"Significant"
"X88072_908.258_11.533_NA;(2S,3S,4S,5R,6R)-6-[[(3S,6aR,6bS,8aR,14bR)-9-hydroxy-4,4,6a,6b,8a,11,11,14b-octamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-5-[4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-3,4-dihydroxyoxane-2-carboxylic acid",43.5370095715501,9.13133895084272e-08,6,"Kruskal-Wallis rank sum test",1.10696178321416e-05,"Significant"
"X29732_307.164_4.662_NA;Massbank:LU077002 3-Hydroxy-4-butyrophenetidide|Bucetin|N-(4-ethoxyphenyl)-3-hydroxybutanamide",43.103662778801,1.11261593879867e-07,6,"Kruskal-Wallis rank sum test",1.33104001520493e-05,"Significant"
"X79525_704.546_10.549_NA;DGTSA(14:0/18:1); [M+H]+ C42H80N1O7",43.0610573971762,1.13442990044601e-07,6,"Kruskal-Wallis rank sum test",1.33951125387729e-05,"Significant"
"X85047_259.205_10.892_NA;Spectral Match to Sumaresinolic acid from NIST14",42.8901895432772,1.22627473750226e-07,6,"Kruskal-Wallis rank sum test",1.42939614273982e-05,"Significant"
"X352_285.144_0.629_Usujirene",42.8223040720279,1.26478588139658e-07,6,"Kruskal-Wallis rank sum test",1.45562445995667e-05,"Significant"
"X67923_214.216_8.859_NA;Spectral Match to cis,cis-9,12-Octadecadien-1-ol from NIST14",42.6823613668919,1.34801421958946e-07,6,"Kruskal-Wallis rank sum test",1.53201816056342e-05,"Significant"
"X38410_188.128_5.405_NA",42.5309141979069,1.44423449524296e-07,6,"Kruskal-Wallis rank sum test",1.62110864577148e-05,"Significant"
"X91178_832.239_12.595_NA;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",42.4501636996113,1.49830127252401e-07,6,"Kruskal-Wallis rank sum test",1.66128721582785e-05,"Significant"
"X65889_456.206_8.549_NA",42.3749411704522,1.55047704747662e-07,6,"Kruskal-Wallis rank sum test",1.69425786666749e-05,"Significant"
"X91793_833.24_12.847_NA;2,2,6b,9,9,12a-hexamethyl-4a-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-10-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-6a-carboxylic acid",42.3540208717004,1.56530643202892e-07,6,"Kruskal-Wallis rank sum test",1.69425786666749e-05,"Significant"
"X92113_980.277_12.951_NA;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",42.2580845806868,1.63513920347839e-07,6,"Kruskal-Wallis rank sum test",1.74902183976771e-05,"Significant"
"X64017_522.186_8.273_NA",42.1749378816779,1.6981646980817e-07,6,"Kruskal-Wallis rank sum test",1.79531551569288e-05,"Significant"
"X91286_871.572_12.704_Pheophytin a;Chlorophyll a",41.9323814882756,1.89617184680885e-07,6,"Kruskal-Wallis rank sum test",1.98160855530874e-05,"Significant"
"X21870_246.18_3.969_NA",41.9031614487416,1.92152499584985e-07,6,"Kruskal-Wallis rank sum test",1.98528468889396e-05,"Significant"
"X79387_209.153_10.22_NA;(.+/-.)-trans-Nerolidol - 40.0 eV",41.7497851442603,2.06024019716645e-07,6,"Kruskal-Wallis rank sum test",2.10468582838622e-05,"Significant"
"X28008_548.327_4.518_NA",41.5277463267289,2.27888679213914e-07,6,"Kruskal-Wallis rank sum test",2.30218207934767e-05,"Significant"
"X79350_309.205_10.218_NA;Massbank:NA002994 [6]-Gingerol|5-hydroxy-1-(4-hydroxy-3-methoxyphenyl)decan-3-one",41.4999181501944,2.30786951150014e-07,6,"Kruskal-Wallis rank sum test",2.30584061522629e-05,"Significant"
"X90000_1147.325_12.243_NA;Contaminant vial septum ThermoFisher C5000-44B",41.2790950480867,2.55123939523761e-07,6,"Kruskal-Wallis rank sum test",2.51196027380466e-05,"Significant"
"X43340_303.133_5.821_NA",41.2628580928996,2.57011045863856e-07,6,"Kruskal-Wallis rank sum test",2.51196027380466e-05,"Significant"
"X71459_395.243_9.368_NA",41.2398787599755,2.59705527648084e-07,6,"Kruskal-Wallis rank sum test",2.51196027380466e-05,"Significant"
"X90353_981.278_12.383_NA;(2S,3R,4S,5S,6R)-2-[(2R,3R,4S,5S,6R)-2-[[(3S,6S,8R,10R,12R,13R,14R,17S)-3,12-dihydroxy-4,4,8,10,14-pentamethyl-17-[(2S)-6-methyl-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhept-5-en-2-yl]-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-6-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",41.1838540146629,2.66393167914052e-07,6,"Kruskal-Wallis rank sum test",2.54952282386796e-05,"Significant"
"X91531_981.278_12.699_NA;(2S,3R,4S,5S,6R)-2-[(2R,3R,4S,5S,6R)-2-[[(3S,6S,8R,10R,12R,13R,14R,17S)-3,12-dihydroxy-4,4,8,10,14-pentamethyl-17-[(2S)-6-methyl-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhept-5-en-2-yl]-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-6-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",40.9204726826274,3.00201770650174e-07,6,"Kruskal-Wallis rank sum test",2.84316093619935e-05,"Significant"
"X89388_908.258_12.002_NA;[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] 9-(hydroxymethyl)-2,2,6a,6b,9,12a-hexamethyl-10-[3,4,5-trihydroxy-6-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxymethyl]oxan-2-yl]oxy-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate",40.8534862901575,3.09460647381066e-07,6,"Kruskal-Wallis rank sum test",2.90063526390582e-05,"Significant"
"X84960_223.205_10.827_NA;amyl amine-C11:1",40.7497339881318,3.2436505354738e-07,6,"Kruskal-Wallis rank sum test",3.00931333352324e-05,"Significant"
"X83004_277.179_10.65_NA;Octinoxate",40.3525552486187,3.88320752033485e-07,6,"Kruskal-Wallis rank sum test",3.53673944201178e-05,"Significant"
"X44484_203.106_5.92_NA",40.3315812359319,3.92026796750957e-07,6,"Kruskal-Wallis rank sum test",3.53673944201178e-05,"Significant"
"X46681_385.148_6.125_NA",40.3267546552078,3.92884605854806e-07,6,"Kruskal-Wallis rank sum test",3.53673944201178e-05,"Significant"
"X576_206.118_0.634_NA",40.2181195007163,4.12693520248923e-07,6,"Kruskal-Wallis rank sum test",3.65882982183635e-05,"Significant"
"X90833_186.981_12.46_NA",40.2084949182765,4.14495679332539e-07,6,"Kruskal-Wallis rank sum test",3.65882982183635e-05,"Significant"
"X35573_606.332_5.16_NA",40.050603283558,4.45202700162017e-07,6,"Kruskal-Wallis rank sum test",3.87749100932237e-05,"Significant"
"X90572_1295.364_12.449_NA;Contaminant vial septum ThermoFisher C5000-44B",40.0297545819362,4.49422950869465e-07,6,"Kruskal-Wallis rank sum test",3.87749100932237e-05,"Significant"
"X87331_468.389_11.317_NA;Spectral Match to Nonaethylene glycol from NIST14",39.9987824841417,4.55765968038741e-07,6,"Kruskal-Wallis rank sum test",3.87749100932237e-05,"Significant"
"X82650_531.33_10.611_NA",39.9960688761107,4.56325932685321e-07,6,"Kruskal-Wallis rank sum test",3.87749100932237e-05,"Significant"
"X57492_331.081_7.416_NA",39.9291359729896,4.70356481465156e-07,6,"Kruskal-Wallis rank sum test",3.95970474951963e-05,"Significant"
"X11652_199.086_3.028_NA",39.8716364845508,4.82751621798803e-07,6,"Kruskal-Wallis rank sum test",4.02676857375662e-05,"Significant"
