"feature","cluster"
"X86895_610.184_11.21_Contaminants septum vial Thermo C4000-53 and C4000-54 serie","cluster1"
"X88149_536.165_11.56_Contaminants septum vial Thermo C4000-53 and C4000-54 serie","cluster1"
"X89637_687.2_12.066_[(1S,6S,7R,10R,15S,16R,18S,19R,20R)-6-(3-Furyl)-8,9,18,19,20-pentahydroxy-3-(1-hydroxy-2-methylpropylidene)-7,12,15,17-tetramethyl-4-oxo-5,11,13,21-tetraoxaheptacyclo[10.8.1.114,17.01,10.02,7.010,15.014,19]docos-16-yl]acetic acid;Contaminant vial septum ThermoFisher C5000-44B","cluster1"
"X87681_652.477_11.409_NA","cluster1"
"X88135_653.461_11.551_NA","cluster1"
"X80838_497.31_10.216_NA","cluster1"
"X87759_525.414_11.42_NA","cluster1"
"X89454_506.339_12.017_NA","cluster1"
"X89447_489.312_12.016_NA","cluster1"
"X91397_685.435_12.691_NA;7-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxy-6-methoxychromen-2-one","cluster1"
"X89717_505.289_12.09_NA","cluster1"
"X89714_522.316_12.091_NA","cluster1"
"X91952_333.213_12.903_NA","cluster1"
"X2613_206.139_1.173_NA","cluster1"
"X92265_326.378_13.019_NA","cluster1"
"X65037_207.138_8.329_NA;(4R,4aS,6R)-6-isopropenyl-4,4a-dimethyl-4,4a,5,6,7,8-hexahydro-2(3H)-naphthalenone","cluster1"
"X72722_209.153_9.502_NA;Spectral Match to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol from NIST14","cluster1"
"X91254_684.202_12.655_ACARBOSE;Contaminants septum vial Thermo C4000-53 and C4000-54 serie","cluster1"
"X91608_685.203_12.721_NA;7-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxy-6-methoxychromen-2-one","cluster1"
"X87345_789.454_11.319_NA","cluster1"
"X89799_701.234_12.115_NA;(3S,4R,6aR,6bS,8aS,11R,12R,14bR)-3,12-dihydroxy-4,6a,6b,11,12,14b-hexamethyl-8a-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-1,2,3,4a,5,6,7,8,9,10,11,12a,14,14a-tetradecahydropicene-4-carboxylic acid","cluster1"
"X89785_700.233_12.109_Contaminant vial septum ThermoFisher C5000-44B","cluster1"
"X90015_774.252_12.228_NA;Contaminant vial septum ThermoFisher C5000-44B","cluster1"
"X90179_775.253_12.24_NA;(3S,4R,6aR,6bS,8aS,11R,12R,14bR)-3,12-dihydroxy-4,6a,6b,11,12,14b-hexamethyl-8a-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-1,2,3,4a,5,6,7,8,9,10,11,12a,14,14a-tetradecahydropicene-4-carboxylic acid","cluster1"
"X87769_610.184_11.423_Contaminants septum vial Thermo C4000-53 and C4000-54 serie","cluster1"
"X90405_1000.787_12.33_NA","cluster1"
"X89946_1162.66_12.158_NA","cluster1"
"X89962_1163.663_12.16_NA","cluster1"
"X89880_686.438_12.134_NA;7-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxy-6-methoxychromen-2-one","cluster1"
"X83008_332.331_10.652_NA","cluster1"
"X83531_372.347_10.719_NA","cluster1"
"X58675_244.191_7.559_NA;Spectral Match to 1,11-Undecanedicarboxylic acid from NIST14","cluster1"
"X81652_403.361_10.502_NA","cluster1"
"X91005_284.331_12.622_NA","cluster1"
"X2270_367.113_1.039_NA","cluster1"
"X90432_686.438_12.336_NA;(3S,4R,6aR,6bS,8aS,11R,12R,14bR)-3,12-dihydroxy-4,6a,6b,11,12,14b-hexamethyl-8a-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-1,2,3,4a,5,6,7,8,9,10,11,12a,14,14a-tetradecahydropicene-4-carboxylic acid","cluster1"
"X90434_726.461_12.336_NA","cluster1"
"X90436_685.435_12.339_NA;7-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxy-6-methoxychromen-2-one","cluster1"
"X3644_287.131_1.77_NA","cluster1"
"X91140_930.224_12.587_NA","cluster1"
"X91131_925.27_12.587_NA;(2S,3S,4S,5R,6R)-6-[[(3S,4R,6aR,6bS,8aS,14bR)-4-(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-8a-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid","cluster1"
"X47777_207.138_6.266_NA;Massbank:AC000287 Walleminone|(1R,4S,5S,6R,9R)-5,6-dihydroxy-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undecan-3-one","cluster1"
"X86693_332.331_11.16_NA","cluster1"
"X90934_1342.926_12.5_NA","cluster1"
"X72986_625.319_9.551_NA","cluster1"
"X77291_634.379_10.021_NA","cluster1"
"X75894_620.363_9.784_NA","cluster1"
"X72265_592.368_9.467_NA","cluster1"
"X64840_334.222_8.393_methyl 19-hydroxy-14,18-dimethyl-12-azahexacyclo[10.6.1.1�,?.0�?,�?.0�?,�?.0?,�?]icosa-3,7(20)-diene-3-carboxylate","cluster1"
"X70169_583.308_9.21_NA","cluster1"
"X70154_578.352_9.208_NA","cluster1"
"X69195_597.287_9.076_NA","cluster1"
"X71273_611.303_9.355_NA","cluster1"
"X72784_468.236_9.509_NA;Spectral Match to 1-Myristoyl-sn-glycero-3-phosphocholine from NIST14","cluster1"
"X61149_415.232_7.885_NA","cluster1"
"X61181_455.225_7.857_NA","cluster1"
"X88845_746.555_11.898_NA","cluster1"
"X88007_746.555_11.548_NA","cluster1"
"X91046_368.425_12.555_NA","cluster1"
"X12240_185.081_3.09_NA","cluster1"
"X60828_165.091_7.84_NA","cluster1"
"X75390_203.143_9.816_NA","cluster1"
"X47040_211.133_6.181_NA","cluster1"
"X49759_227.128_6.485_NA","cluster1"
"X54832_239.164_7.079_NA","cluster1"
"X51699_211.133_6.783_NA;HYDROXYPHENYLLACTIC ACID","cluster1"
"X16044_296.169_3.549_NA","cluster1"
"X27839_211.096_4.542_NA;N-ACETYL-ASPARTIC ACID","cluster1"
"X58990_207.138_7.596_NA;HUMULENE (alpha)","cluster1"
"X91527_504.389_12.703_NA","cluster1"
"X88712_504.389_11.805_NA","cluster1"
"X89916_504.389_12.194_NA","cluster1"
"X86317_419.294_11.09_NA","cluster1"
"X69397_328.248_9.093_NA","cluster1"
"X89698_375.268_12.085_NA","cluster1"
"X89432_401.283_12.011_NA","cluster1"
"X88917_387.268_11.836_NA","cluster1"
"X90149_403.299_12.358_NA","cluster1"
"X89659_389.283_12.002_NA","cluster1"
"X88906_375.268_11.84_NA","cluster1"
"X91537_403.299_12.705_NA","cluster1"
"X88603_423.244_11.74_NA","cluster1"
"X89349_437.26_11.99_NA","cluster1"
"X92132_405.315_12.965_NA","cluster1"
"X90940_391.299_12.509_NA","cluster1"
"X90514_389.283_12.362_NA","cluster1"
"X90325_377.283_12.3_NA","cluster1"
"X86758_890.525_11.183_NA","cluster1"
"X46771_267.159_6.153_NA;NCGC00381022-01_C15H22O5_2H-Cyclohepta[b]furan-7-propanoic acid, octahydro-8-hydroxy-6,8-dimethyl-3-methylene-2-oxo-, (3aS,6S,8aR)-","cluster1"
"X25435_201.112_4.305_NA","cluster1"
"X28798_167.106_4.443_NA","cluster1"
"X80216_359.258_10.312_NA;(4E,8E)-7-hydroxy-10-(hydroxymethyl)-4,8,11,15-tetramethylbicyclo[11.2.0]pentadeca-4,8,14-trien-6-one","cluster1"
"X83085_461.267_10.658_NA","cluster1"
"X86429_457.331_11.117_NA","cluster1"
"X75592_409.294_9.838_NA","cluster1"
"X84321_341.247_10.839_NA;(2Z,6S)-6-[(1S,3aS,9aR,11aS)-3a,6,6,9a,11a-pentamethyl-7-oxo-1H,2H,3H,3aH,5H,5aH,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-1-yl]-2-methylhept-2-enoic acid","cluster1"
"X77262_372.311_10.008_NA;Spectral Match to Lauroyl L-carnitine from NIST14","cluster1"
"X74872_452.277_9.73_PE(16:1/0:0); [M+H]+ C21H43N1O7P1;PE(18:1/0:0); [M+H]+ C23H47N1O7P1","cluster1"
"X73288_350.232_9.429_NA;NCGC00385344-01_C20H28O4_1-Naphthalenecarboxylic acid, 5-[2-(2,5-dihydro-2-oxo-3-furanyl)ethyl]decahydro-1,4a-dimethyl-6-methylene-","cluster1"
"X3005_202.107_1.436_NA","cluster1"
"X69431_265.179_9.046_NA;9-hydroxy-1,4a-dimethyl-7-propan-2-yl-2,3,4,9,10,10a-hexahydrophenanthrene-1-carboxylic acid","cluster1"
"X24312_304.138_4.205_NA","cluster1"
"X3622_232.118_1.768_NA","cluster1"
"X32527_294.133_4.895_NA","cluster1"
"X2225_252.123_0.937_NA","cluster1"
"X82518_275.2_10.599_NA;NCGC00384643-01_C20H32O2_(2E)-3-Methyl-5-[(1S,8aS)-5,5,8a-trimethyl-2-methylenedecahydro-1-naphthalenyl]-2-pentenoic acid","cluster1"
"X52534_267.159_6.724_NA","cluster1"
"X31900_338.159_4.76_NA","cluster1"
"X72272_464.3_9.458_NA","cluster1"
"X3225_232.118_1.552_NA","cluster1"
"X85611_439.284_10.964_NA","cluster1"
"X86667_395.294_11.077_NA","cluster1"
"X86520_407.294_11.121_NA","cluster1"
"X84643_359.258_10.8_NA","cluster1"
"X75330_520.327_9.777_NA","cluster1"
"X58572_332.258_7.534_NA","cluster1"
"X19184_198.112_3.753_NA","cluster1"
"X73117_566.368_9.556_NA","cluster1"
"X25277_218.139_4.293_NA","cluster1"
"X2154_232.118_0.958_NA","cluster1"
"X55046_207.138_7.107_NA","cluster1"
"X85367_271.205_10.926_NA;B13A01 Faulkner library maybe Tryptophan needs ot be verified","cluster1"
"X80377_407.279_10.421_NA","cluster1"
"X83703_438.321_10.746_NA","cluster1"
"X86184_437.305_10.94_NA","cluster1"
"X25393_197.117_4.482_NA;""10,12-dihydroxy-9-methyl-4,13-dimethylene-6-oxatricyclo[7.4.0.0<3,7>]tridecan- 5-one CollisionEnergy:102040""","cluster1"
"X86322_946.552_11.076_NA;Ginsenoside Ro","cluster1"
"X1928_180.102_0.886_NA","cluster1"
"X80527_460.363_10.217_NA","cluster1"
"X70239_514.292_9.284_NA;Spectral Match to 1-Heptadecanoyl-sn-glycero-3-phosphocholine from NIST14","cluster1"
"X76082_462.342_9.894_NA;Betaine Lipid DGCC 16:0","cluster1"
"X74013_310.273_9.658_NA","cluster1"
"X73962_559.286_9.68_NA","cluster1"
"X71221_594.294_9.327_NA","cluster1"
"X74992_530.332_9.754_NA;NCGC00380867-01_C27H46O9_9,12,15-Octadecatrienoic acid, 3-(hexopyranosyloxy)-2-hydroxypropyl ester, (9Z,12Z,15Z)-","cluster1"
"X75368_494.324_9.801_PC(16:1/0:0); [M+H]+ C24H49N1O7P1;Spectral Match to HEPC from NIST14","cluster1"
"X75200_495.328_9.804_NA;Spectral Match to 1-Pentadecanoyl-sn-glycero-3-phosphocholine from NIST14","cluster1"
"X70434_692.385_9.256_NA","cluster1"
"X12760_225.087_3.007_NA","cluster1"
"X26881_245.128_4.418_NA","cluster1"
"X76710_465.304_9.948_NA","cluster1"
"X70412_531.255_9.241_NA","cluster1"
"X71254_508.326_9.495_NA","cluster1"
"X71750_644.385_9.496_NA","cluster1"
"X77166_487.287_9.974_NA","cluster1"
"X77080_482.332_9.972_NA","cluster1"
"X33400_291.046_4.979_NA","cluster1"
"X30854_291.046_4.762_NA","cluster1"
"X3441_202.107_1.676_NA","cluster1"
"X2207_264.159_0.995_NA","cluster1"
"X70541_273.184_9.346_NA","cluster1"
"X48221_225.148_6.244_NA","cluster1"
"X50019_225.148_6.513_NA","cluster1"
"X88566_421.31_11.716_NA","cluster1"
"X56605_370.222_7.297_NA","cluster1"
"X62741_263.164_8.087_NA","cluster1"
"X45847_237.148_6.054_NA","cluster1"
"X51635_392.16_6.696_NA","cluster1"
"X49727_283.153_6.485_NA","cluster1"
"X49014_221.117_6.509_NA","cluster1"
"X50285_237.148_6.549_NA","cluster1"
"X27285_162.055_4.459_NA","cluster1"
"X60303_337.2_7.766_NA","cluster1"
"X55045_235.133_7.108_NA;Spectral Match to Jasmine lactone from NIST14","cluster1"
"X71165_287.163_9.304_NA","cluster1"
"X72757_465.283_9.513_NA","cluster1"
"X2086_372.186_0.976_NA","cluster1"
"X74428_349.237_9.689_NA;Spectral Match to Monolinolenin (9c,12c,15c) from NIST14","cluster1"
"X79664_498.379_10.263_NA","cluster1"
"X80246_548.394_10.325_NA","cluster1"
"X78785_562.373_10.08_NA;Betaine Lipid DGCC 16:0","cluster1"
"X80906_507.334_10.405_NA","cluster1"
"X82170_546.363_10.562_NA","cluster1"
"X81481_474.379_10.48_NA","cluster1"
"X82829_316.321_10.633_NA","cluster1"
"X77963_519.313_10.074_NA","cluster1"
"X82308_500.394_10.626_NA","cluster1"
"X81537_490.373_10.489_Betaine Lipid DGCC 16:0","cluster1"
"X76941_592.348_9.987_NA","cluster1"
"X76271_585.301_9.907_NA","cluster1"
"X73342_271.169_9.581_NA","cluster1"
"X7286_229.105_2.517_NA","cluster1"
"X25878_343.157_4.42_NA","cluster1"
"X90553_749.537_12.373_NA","cluster1"
"X89869_1356.941_12.136_NA","cluster1"
"X89836_1347.878_12.127_NA","cluster1"
"X91987_998.288_12.917_NA;Contaminant vial septum ThermoFisher C5000-44B","cluster1"
"X91989_1000.287_12.919_NA;(2S,3S,4S,5R,6R)-6-[[(3S,6aR,6bS,8aR,14bR)-9-hydroxy-4,4,6a,6b,8a,11,11,14b-octamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-5-[4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-3,4-dihydroxyoxane-2-carboxylic acid","cluster1"
"X91980_1001.287_12.917_NA;(2S,3S,4S,5R,6R)-6-[[(3S,6aR,6bS,8aR,14bR)-9-hydroxy-4,4,6a,6b,8a,11,11,14b-octamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-5-[4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-3,4-dihydroxyoxane-2-carboxylic acid","cluster1"
"X92042_706.496_12.94_NA;DG(20:4_18:0)","cluster1"
"X90550_683.489_12.368_NA","cluster1"
"X91532_680.48_12.697_NA;DG(20:4_18:0)","cluster1"
"X88760_532.354_11.791_NA","cluster1"
"X88745_506.339_11.787_NA","cluster1"
"X88750_489.312_11.788_NA","cluster1"
"X88716_490.316_11.785_NA","cluster1"
"X89726_685.435_12.127_NA;7-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxy-6-methoxychromen-2-one","cluster1"
"X89635_1325.899_12.141_NA","cluster1"
"X89890_1342.926_12.141_NA","cluster1"
"X89872_1370.954_12.136_NA","cluster1"
"X89857_1368.941_12.134_NA","cluster1"
"X90577_720.511_12.402_NA","cluster1"
"X90738_706.495_12.456_NA;DG(20:4_18:0)","cluster1"
"X89737_1348.883_12.156_NA","cluster1"
"X63409_244.19_8.195_NA","cluster1"
"X47567_197.117_6.245_NA","cluster1"
"X47616_352.175_6.137_NA","cluster1"
"X56621_209.153_7.336_NA;jasmonic acid methyl ester CollisionEnergy:205060","cluster1"
"X56026_195.138_7.228_NA","cluster1"
"X42356_326.159_5.821_NA","cluster1"
"X36819_456.186_5.09_NA","cluster1"
"X41429_398.18_5.657_NA","cluster1"
"X76209_281.174_9.904_NA","cluster1"
"X72869_308.131_9.525_NA","cluster1"
"X73944_347.185_9.564_NA","cluster1"
"X64638_621.363_8.362_NA","cluster1"
