row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,DOM_Interlab-LCMS_Lab1_PPL_blank_Pos_MS2.mzML Peak area,DOM_Interlab-LCMS_Lab1_A5M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab1_A5M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab1_A45M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab1_A45M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab1_M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab1_M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab1_A15M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab1_A15M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab1_A45M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab1_A5M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab1_M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab1_A15M_Pos_MS2_rep3.mzML Peak area,
968,151.09690080396382,1.2611004,,,,,,,,,,,34376.824,53466.703,0,0,1799.1312,0,0,0,0,1842.9164,0,0,0,
1306,152.07068692263212,2.9607651,,,,,,,,,,,0,2099.904,20519.973,24601.21,30593.266,45399.99,38170.664,44434.566,35286.812,34909.906,44515.438,48529.188,32521.877,
5858,153.0546263175224,5.604694,,,,,,,,,,,0,70491.625,58598.902,21560.146,21737.996,68236.84,76262.27,101986.05,122665.555,18889.13,61533.504,82740.15,97803.62,
2550,153.09104377035518,4.2469463,,,,,,,,,,,0,265148.78,310295.12,303318.16,344833.38,279775.06,270011.6,243354.62,272245.22,354755.34,279667.34,297660.0,258793.38,
3118,153.09104529668517,4.5754766,,,,,,,,,,,0,151542.9,172473.72,169980.22,211477.92,141644.38,136158.11,146231.89,127588.2,199802.53,184474.56,156052.52,143408.44,
2183,153.09105124510506,3.9946213,,,,,,,,,,,0,63410.387,50111.76,88309.234,69070.22,58685.914,65236.43,79968.73,61243.03,71920.07,75947.305,72347.67,52745.113,
1830,153.09107986239044,3.6449254,,,,,,,,,,,0,198900.66,207790.27,219829.1,218773.1,176862.0,188249.52,188245.28,197946.0,217998.97,203931.39,202756.19,172964.72,
13,153.13857336111485,0.54226476,,,,,,,,,,,554588.4,0,0,0,0,0,0,0,0,0,0,0,0,
16902,153.1385760347195,14.288544,,,,,,,,,,,69909.65,51759.867,49005.258,61129.688,54045.277,51344.047,46595.2,54540.22,46942.176,49131.82,49207.68,53488.254,46547.23,
829,153.13858763902775,1.0433888,,,,,,,,,,,97518.02,0,0,0,0,0,0,0,0,0,0,0,0,
514,153.13868643668627,0.8024655,,,,,,,,,,,148130.77,6271.4263,3658.9067,4086.1045,5937.2656,2639.1108,6867.1865,4750.09,1672.7001,5878.788,2577.8157,1766.2816,5851.5776,
2551,155.07028546752397,4.2469463,,,,,,,,,,,0,219160.0,215903.86,143928.38,131818.72,252608.45,253657.44,266767.2,292191.53,140596.1,218849.62,260037.55,278467.7,
2213,155.07030360805854,4.0155683,,,,,,,,,,,0,93284.484,52329.848,24587.773,37855.96,51502.56,64273.57,108854.79,64441.984,38713.633,64697.844,62276.645,66720.2,
1276,155.07031404457229,2.8897836,,,,,,,,,,,0,374960.2,13054.23,11913.689,14451.52,6597.0317,16004.76,8127.6377,3658.533,19125.67,9002.766,8923.68,10878.763,
2011,155.0703149194365,3.8350942,,,,,,,,,,,0,69054.9,93765.93,135018.84,129068.81,73306.63,80203.54,60815.117,53913.855,115679.34,88068.445,92400.25,55202.516,
1619,155.07032297121535,3.44428,,,,,,,,,,,0,3678.8262,126785.31,182461.48,161794.12,122640.586,118447.87,99977.38,101609.945,172616.23,130158.336,129487.28,109907.73,
1251,155.0703329315198,2.7914007,,,,,,,,,,,0,0,375632.2,519334.88,433679.2,342795.47,330732.06,302508.88,291933.06,476433.3,423666.16,386372.7,269948.9,
1686,155.07034619660166,3.5265567,,,,,,,,,,,0,125671.08,0,0,0,0,0,0,5279.509,0,0,0,5103.7456,
10814,155.106612294016,7.2118,,,,,,,,,,,0,83323.16,87069.55,74243.35,69835.59,105861.96,109505.9,109402.02,129541.51,79539.48,90506.29,123761.42,126157.27,
11339,155.10664068976965,7.3875184,,,,,,,,,,,0,88909.016,104034.17,61824.516,60559.867,99932.49,105074.65,107621.055,111013.92,64627.035,99355.734,102467.69,109817.07,
1786,156.1020405065623,3.6110876,,,,,,,,,,,0,2299.6694,23406.068,85881.195,66219.125,17540.504,23157.69,22954.701,22402.096,65279.684,23177.2,18035.984,21801.738,
10292,157.08598402445492,7.016861,,,,,,,,,,,0,54469.402,47044.15,22398.73,22969.463,64181.797,62787.27,78691.45,87289.44,23239.035,48925.926,63188.51,78488.18,
1445,157.0860604565052,3.2067468,,,,,,,,,,,0,3275.8015,1216864.6,1398559.2,1415911.6,1239879.6,1298981.8,1303361.2,1146876.9,1379889.8,1313812.9,1354729.6,1314161.8,
1493,157.08606521948008,3.302059,,,,,,,,,,,0,1158761.5,50570.41,36622.445,0,0,0,39401.254,46378.71,38901.477,0,40651.312,30237.775,
31,158.00285496246923,0.6545865,,,,,,,,,,,0,22896.383,20427.02,30929.23,39505.83,31169.836,34944.426,34389.363,36099.855,43803.535,24462.95,40070.23,50743.297,
12388,158.1540319878351,7.7892537,,,,,,,,,,,82420.92,2294460.0,2359092.2,2528971.8,2284781.2,2613405.0,2565928.8,2462211.8,2185299.2,2545130.5,2260171.5,2171265.0,2429347.2,
16952,158.96142598810098,14.783519,,,,,,,,,,,72109.805,84061.91,78702.47,80460.93,18626.07,87684.49,31867.787,60775.895,34779.887,412411.94,77620.15,55936.406,77341.19,
1317,159.0653090140139,2.9904954,,,,,,,,,,,0,0,56925.707,20345.455,8273.578,69637.195,75944.73,95283.72,97469.82,22204.586,62337.58,90005.516,92541.12,
4644,159.10163955772003,5.216998,,,,,,,,,,,0,192369.06,208439.52,124822.7,112158.305,212880.94,196876.4,237312.77,221949.56,123274.836,218308.88,212995.77,232524.12,
710,161.06317400656076,0.9989164,,,,,,,,,,,0,48375.363,59311.5,17599.408,14703.458,67817.305,79341.97,107007.18,81059.7,17747.002,63608.69,75430.914,95454.8,
275,161.06318691588382,0.7916772,,,,,,,,,,,0,263968.8,243553.84,74880.414,82290.14,283370.28,289948.28,329798.25,331919.2,102479.445,264628.6,277085.66,356962.2,
12168,161.09611343847575,7.693849,,,,,,,,,,,0,129060.7,136881.25,56869.633,76241.23,110051.984,132464.78,159874.98,123845.55,67434.445,84309.24,123000.7,148452.95,
11731,161.13249375180104,7.534193,,,,,,,,,,,0,33778.91,41458.52,53633.81,55069.54,32639.793,39969.926,26448.406,31293.197,61221.69,51837.773,45098.832,37057.047,
14423,161.1325031082805,9.007583,,,,,,,,,,,0,82382.6,106515.25,67731.16,61321.07,107437.31,100259.016,120260.586,120403.25,54855.87,88927.63,103929.48,119675.14,
13947,161.13253674054855,8.711021,,,,,,,,,,,0,76790.766,57374.566,39504.79,38677.824,68575.805,68769.22,94850.766,80387.49,36110.707,63898.457,58649.52,101588.74,
1235,162.0550434622754,2.7189565,,,,,,,,,,,0,0,58285.47,56400.406,54043.83,59570.99,54470.477,63050.285,57736.203,40824.766,63561.117,65673.52,60446.46,
1263,162.0550719116309,2.832681,,,,,,,,,,,0,48821.22,0,0,0,0,2742.6462,0,0,0,0,0,0,
9183,163.03897277945595,6.6479836,,,,,,,,,,,0,146617.36,146890.19,39357.17,39370.33,147872.02,183269.48,218429.64,205685.78,43428.715,143031.75,185925.89,220428.89,
10796,163.07533867140066,7.2026668,,,,,,,,,,,0,395616.34,425390.44,457231.3,462233.84,393800.1,418714.5,371774.06,417540.44,470279.53,425106.5,440497.94,411074.5,
11210,163.07535588096127,7.3311667,,,,,,,,,,,0,615797.8,607235.1,613369.6,689643.7,597344.6,604885.0,608995.2,674741.3,677627.56,548712.5,638080.6,657629.6,
2200,163.0754155055396,4.003028,,,,,,,,,,,0,120572.09,115861.85,119133.36,134266.4,122788.2,119326.84,119925.92,116115.516,131493.1,116280.81,109317.875,98387.56,
1777,163.0866762349507,3.5827944,,,,,,,,,,,0,24720.043,44244.777,43279.242,34016.13,42097.7,36340.336,36423.34,41223.047,38928.457,39211.49,39009.16,37272.715,
12102,163.1117223862473,7.655878,,,,,,,,,,,0,11426.769,9329.537,105622.2,108470.83,22764.447,25406.277,42785.28,79907.44,100273.0,13093.725,18410.188,44441.39,
7598,163.11175628609013,6.147913,,,,,,,,,,,0,83154.16,140200.47,112287.72,115497.336,102284.45,88635.85,96246.305,95623.97,112935.65,103493.53,107239.766,130516.266,
8177,163.1117612686903,6.3284144,,,,,,,,,,,0,106366.84,113472.05,129721.055,117230.8,101914.36,120511.71,100317.37,81644.32,113913.875,120074.29,121789.08,103019.62,
13783,163.1117706881805,8.621484,,,,,,,,,,,0,56319.383,36932.742,34294.613,23665.057,51314.99,65322.312,110969.61,103777.24,33930.066,53111.57,47903.594,104771.32,
13022,163.11177436611996,8.153458,,,,,,,,,,,0,55323.895,31938.814,18076.227,21382.926,56401.824,57533.75,54768.863,70682.34,20546.688,36153.4,63420.664,82277.66,
4355,163.13290072851177,5.1093884,,,,,,,,,,,0,160239.84,177049.66,215116.83,173641.34,174750.5,200081.33,176379.12,179118.58,190997.73,191744.89,179079.39,176307.38,
853,164.0923130424346,1.1006497,,,,,,,,,,,1628.47,14703.646,58572.074,55087.99,53391.85,54039.02,71218.82,78242.805,76124.56,51189.99,59901.61,77670.4,71505.35,
900,164.09287189672816,1.1465421,,,,,,,,,,,8090.2686,64173.76,19669.346,36925.887,34855.574,19229.162,0,0,22319.754,34630.684,12265.604,16853.332,18220.582,
14733,165.0543471909984,9.195731,,,,,,,,,,,0,127707.27,171204.5,147617.73,148137.61,140452.95,142045.61,126221.64,130557.43,140872.28,164409.53,144790.61,126899.445,
646,165.05462757533834,0.974069,,,,,,,,,,,152520.39,0,0,2405.2761,0,0,0,0,0,0,0,0,0,
9780,165.09104087696534,6.8492475,,,,,,,,,,,0,152839.45,146271.78,120567.79,129035.695,184225.22,220258.0,164236.66,207867.67,141752.47,211917.22,239871.75,232237.53,
8829,165.0910441679388,6.5358167,,,,,,,,,,,0,340587.75,352300.1,244577.55,243916.0,372721.47,375787.4,427866.5,457815.12,251062.75,344072.66,411037.44,438317.62,
6383,165.0910620098457,5.7818,,,,,,,,,,,0,150807.2,228295.53,116550.29,111229.66,214895.86,224672.72,140105.92,153993.45,117112.85,130246.95,217269.19,148499.19,
3391,165.09106315664738,4.730766,,,,,,,,,,,0,204856.33,220403.03,234633.5,182856.39,146988.77,207224.47,157684.16,184157.52,231331.39,210297.06,205926.61,160775.89,
2806,165.09107737817422,4.3839946,,,,,,,,,,,0,97041.805,213938.89,116834.77,133860.39,78905.45,76743.75,71570.28,72803.02,106372.67,85752.49,204374.33,62693.97,
1801,165.0911173947234,3.626686,,,,,,,,,,,0,13154.123,14506.037,130238.22,135184.94,20981.945,24988.688,29468.156,32751.555,129323.56,11474.668,18240.555,34801.254,
13495,165.1274257270625,8.4545765,,,,,,,,,,,0,181666.27,182061.6,132081.33,111503.43,195955.72,181141.36,220592.64,222360.34,123309.914,156143.14,190017.95,246127.03,
13302,165.12743733433388,8.345866,,,,,,,,,,,0,77374.64,78738.0,42335.477,62344.695,90307.69,91078.11,105745.766,103563.06,63349.344,54316.945,77248.63,99747.28,
12844,165.12745045363735,8.046132,,,,,,,,,,,0,67606.734,76380.88,49141.49,53559.21,104797.805,85301.0,86233.07,91866.58,58559.348,83115.08,66961.03,84269.016,
1044,166.08636220451208,1.5917095,,,,,,,,,,,0,125110.17,673.7422,4456.169,7840.93,0,598.5674,731.36743,572.60187,1704.0996,8630.741,1823.1969,1811.7157,
1017,166.0863687891391,1.3922454,,,,,,,,,,,0,0,128757.484,442784.6,397998.3,144327.81,137026.7,155929.53,149941.62,412549.88,131716.88,143671.58,153798.2,
2313,166.12270942201445,4.1179676,,,,,,,,,,,0,0,0,83518.9,83877.33,7624.3516,4412.8003,19967.234,23600.338,79419.69,0,5924.245,23760.297,
16947,167.01291259707224,14.356571,,,,,,,,,,,307313.94,367809.1,278567.25,313670.44,248658.56,294485.94,104931.56,343361.22,244714.08,313721.12,286125.2,256578.94,284376.03,
1003,167.0129421391081,1.3399366,,,,,,,,,,,203929.67,0,0,0,0,0,0,0,0,0,0,0,0,
5476,167.07029791724753,5.4896603,,,,,,,,,,,0,121892.19,76269.984,65037.27,38895.836,74348.97,78112.55,121706.375,110211.82,32237.928,103931.3,126996.21,94149.46,
8218,167.0703009444653,6.3395095,,,,,,,,,,,0,96179.445,123575.25,51747.34,53549.57,157141.84,145914.39,222426.3,226813.05,50485.133,132493.0,176386.06,173413.31,
3709,167.07030910175462,4.8584266,,,,,,,,,,,0,188580.34,207470.53,158552.39,145431.5,183108.8,227572.9,164585.14,206301.22,201052.89,204678.56,215067.89,209875.06,
7902,167.0703107108313,6.240231,,,,,,,,,,,0,80496.336,84780.02,32181.102,27916.441,96222.07,110541.805,113366.664,128493.414,43047.902,80381.76,105637.42,112473.45,
1953,167.07035746829888,3.7805202,,,,,,,,,,,0,74075.766,54175.316,109608.78,101436.59,72339.51,65089.062,53969.973,37894.4,110839.02,86715.09,55226.312,43733.887,
1438,167.0816149895077,3.1935008,,,,,,,,,,,0,4051.6052,28270.11,1831.0881,1291.0691,42945.27,51168.598,45018.14,43265.652,1999.1802,29485.986,55309.867,46905.152,
8169,167.10668256256176,6.32564,,,,,,,,,,,0,132539.4,57777.414,146935.25,189937.73,29096.582,57281.656,82620.82,80154.805,118637.33,50122.695,73369.43,55699.16,
6541,167.10669142789706,5.8277516,,,,,,,,,,,0,106226.08,123045.33,166469.7,164202.17,124791.08,104860.25,110538.25,96148.75,114180.55,134947.98,132672.11,96158.69,
3572,167.10669350670355,4.805283,,,,,,,,,,,0,378818.94,332805.53,337001.5,318826.44,249467.3,276504.44,285403.62,296779.25,364851.97,291681.44,350976.66,290325.72,
3930,167.1066953400709,4.942536,,,,,,,,,,,0,308295.78,351100.75,381508.25,397368.88,300744.2,334870.62,346025.88,335517.53,385088.12,339336.6,343736.7,329167.47,
5365,167.10669630531484,5.4548664,,,,,,,,,,,0,238982.66,245678.06,241680.7,221006.5,220016.03,215493.1,218306.7,180647.12,268790.94,212960.39,201203.62,166372.33,
4596,167.10669791449303,5.194714,,,,,,,,,,,0,472072.1,502724.8,566804.44,503600.44,490522.66,465360.16,486859.97,452292.5,573617.1,532391.1,556500.8,445751.12,
4149,167.10670190327804,5.034958,,,,,,,,,,,0,415682.4,352283.03,450579.72,406608.88,374696.25,384681.44,327152.84,355516.72,423629.2,399087.8,369492.44,365689.84,
12620,167.10670891597857,7.918424,,,,,,,,,,,0,111535.78,136809.62,46513.547,54488.2,149866.84,129137.85,191577.58,173087.77,64191.844,121387.625,133834.66,204616.83,
11,167.15432393138508,0.2784952,,,,,,,,,,,782.84937,55345.73,50204.94,47672.223,65751.69,56146.367,62541.992,61524.445,68810.98,48756.23,42782.9,14743.846,40977.043,
9691,168.13826884916068,6.81621,,,,,,,,,,,0,0,0,63172.73,67290.62,2663.506,2952.398,16660.69,19977.186,66047.05,0,3805.8643,18957.887,
897,168.13839185797661,1.1729395,,,,,,,,,,,0,0,0,74322.05,71575.086,13452.819,9508.863,22196.385,22432.547,74531.695,1299.9204,9884.364,22983.873,
29,169.04575975026827,0.6526681,,,,,,,,,,,0,40966.344,37213.16,46816.043,47889.8,51094.695,39975.14,43415.297,36992.836,39935.926,43337.47,49900.58,39765.71,
5170,169.08593530621366,5.3999114,,,,,,,,,,,0,278659.88,260955.39,181057.7,204126.67,310304.28,358289.06,345404.4,331098.16,184461.33,241727.5,383389.72,312442.9,
4121,169.08594556449785,5.025215,,,,,,,,,,,0,485782.72,453123.56,307381.97,232371.11,536810.1,443428.88,514420.56,506241.22,241117.78,529762.06,574203.6,500815.1,
4756,169.08594881930594,5.250248,,,,,,,,,,,0,809023.44,878922.3,253941.31,252034.97,970302.2,944092.7,1176919.4,1057718.1,274831.3,946138.25,1035739.5,1144351.1,
2552,169.08597377082899,4.243287,,,,,,,,,,,7889.3857,777446.75,762166.75,670221.2,382600.44,556097.56,842546.1,833055.94,869859.9,732022.6,770190.94,557578.9,941771.06,
2836,169.08597647426356,4.4026957,,,,,,,,,,,1942.1234,184187.08,165476.14,240744.4,225777.8,166102.48,173792.06,164172.06,166017.22,208405.1,200116.78,177202.14,149655.14,
3015,169.0859789730195,4.5334134,,,,,,,,,,,9611.193,190941.72,241535.42,224162.67,217968.05,198006.75,215952.92,191773.95,184141.81,268929.0,228964.22,228169.06,202564.05,
2251,169.08599382478167,4.048535,,,,,,,,,,,5611.5146,485694.16,539961.75,561938.4,524419.0,490743.44,473845.75,526559.94,468324.8,594592.1,533067.0,506382.66,440459.6,
2009,169.08599708408053,3.8340433,,,,,,,,,,,11885.608,173679.2,146156.02,166018.84,169394.7,134007.8,137356.22,143854.8,180846.08,160044.11,188975.38,207621.16,144652.22,
1844,169.08600316618046,3.6630328,,,,,,,,,,,0,577149.6,471891.75,625221.75,587129.2,493936.2,420719.44,360001.2,439564.72,611097.3,488618.44,573405.2,430323.6,
11919,169.12228539732686,7.6016793,,,,,,,,,,,0,57287.734,69319.44,34035.34,37469.91,80755.79,73237.125,101627.15,103163.21,42365.082,60796.676,74299.77,69966.12,
13190,169.12232899549034,8.271071,,,,,,,,,,,0,64741.344,61525.324,39337.082,44836.46,79537.664,84117.36,77838.36,78962.72,43105.156,67544.16,67397.375,82465.0,
12960,169.12232904470693,8.114486,,,,,,,,,,,0,138389.34,148277.12,88797.984,97528.21,152251.92,150236.1,170947.95,164761.23,97040.42,140787.83,163555.1,166503.55,
1082,170.08124583627026,1.812325,,,,,,,,,,,0,226143.47,54868.457,8125.05,16860.947,8201.435,4510.145,53486.766,54379.836,18714.3,34665.688,66492.29,56221.94,
1106,170.08125633021027,1.8717855,,,,,,,,,,,0,12479.312,153446.2,8879.954,14598.213,223271.55,233563.58,148194.42,177911.08,11964.7705,164486.3,208169.75,166828.6,
1037,170.08125687759716,1.5137018,,,,,,,,,,,0,21255.611,291679.6,19786.164,29816.69,385936.4,238042.17,246030.17,259464.17,26174.531,195691.14,294349.34,215898.23,
1160,170.08126889997675,2.0694754,,,,,,,,,,,0,164747.06,11671.23,2884.5051,4275.575,19349.807,8194.534,2310.6812,10357.633,5137.923,6090.9644,5212.95,15079.114,
679,170.0812753546344,0.9877406,,,,,,,,,,,0,63227.49,50468.06,47843.73,39617.11,41960.336,61033.44,50307.746,37880.05,84269.3,31912.29,54516.44,45322.848,
6190,170.1175821623338,5.7078166,,,,,,,,,,,0,387797.94,425983.9,349094.56,402835.03,453329.78,447243.75,500826.9,470628.47,415943.53,412250.7,390102.8,488512.72,
2939,170.11759490807106,4.4678063,,,,,,,,,,,0,553648.0,530775.06,1118492.4,1050917.6,441561.3,482158.97,425393.72,420306.03,1105380.8,533658.8,486550.06,461477.62,
1931,170.11762479651694,3.7579403,,,,,,,,,,,0,29760.885,37525.516,41629.688,36931.375,40362.066,37732.137,36655.438,32114.496,40974.3,31373.736,41155.97,40203.44,
3693,171.0651915669995,4.854186,,,,,,,,,,,0,106260.71,115981.64,37511.855,36038.656,134797.81,148297.36,185007.25,212427.14,37523.098,113166.27,154646.6,200501.16,
1275,171.06524358403476,2.9041002,,,,,,,,,,,0,0,74079.41,114655.06,102582.75,65720.78,72901.484,61992.48,56491.137,107098.35,81830.82,78791.125,53201.812,
1648,171.06524435624428,3.472419,,,,,,,,,,,0,6091.6904,124785.47,124063.02,87809.46,147177.72,132405.58,121703.46,124759.266,90716.33,124657.57,158329.86,122928.28,
1323,171.0652507335578,3.0193074,,,,,,,,,,,0,68006.59,7847.7075,10525.969,10784.687,6000.6475,9528.076,9744.836,5056.632,14876.123,9332.791,3601.0708,8913.063,
1730,171.06527192109823,3.5589871,,,,,,,,,,,0,123119.49,0,0,0,0,0,0,13791.952,0,6255.392,6159.8457,0,
2553,171.10159354448396,4.2469463,,,,,,,,,,,0,709260.75,665326.75,774198.9,854788.1,676654.4,692837.56,708963.7,664487.56,828676.7,731487.56,678542.5,626735.75,
12654,171.10160141862423,7.935201,,,,,,,,,,,0,49742.445,41381.273,22639.498,20796.584,45583.008,48325.19,90883.125,70682.5,22859.502,38282.523,45838.95,65576.305,
3322,171.10160356696753,4.6951027,,,,,,,,,,,17677.76,268380.38,278946.38,514569.7,459908.8,273576.06,278837.47,311933.5,310931.47,487876.94,250975.02,279464.62,364763.1,
3117,171.10160733986825,4.5798216,,,,,,,,,,,1634.1306,621370.94,632414.1,740145.06,688194.4,562170.94,590793.0,520578.6,560047.1,738711.6,619469.6,626726.6,523298.06,
2186,171.10161770038016,3.996011,,,,,,,,,,,0,152433.66,154187.2,163896.58,185777.38,162083.53,165576.38,196794.16,171539.3,178160.47,196896.36,178645.84,161843.69,
8611,171.13795174015968,6.4574933,,,,,,,,,,,0,166581.88,139452.98,161157.2,157003.39,143747.9,163698.88,131089.39,152723.25,139762.8,157446.53,158447.14,136912.48,
6245,171.1491991093825,5.7325654,,,,,,,,,,,0,232147.3,229712.72,347357.16,357007.44,260346.84,273071.03,222782.61,241785.52,364200.47,265879.0,245565.44,245538.47,
2431,172.13323980418272,4.1850176,,,,,,,,,,,0,0,0,198907.36,195618.92,23492.088,17620.227,47818.992,53831.387,210539.75,1913.2395,19001.283,50727.934,
13204,172.16960075314398,8.282347,,,,,,,,,,,0,68695.84,60630.156,62884.227,62325.29,64813.16,73825.7,55764.85,52046.074,76809.09,69601.125,70753.664,74822.5,
12741,172.16960123782408,7.9771667,,,,,,,,,,,0,2847680.8,2829417.0,2857578.8,2529311.2,3071055.2,2955065.2,2795348.8,2558832.2,2947547.8,2755976.8,2709564.0,2743605.0,
537,173.07833741917895,0.8247673,,,,,,,,,,,625611.6,0,0,0,0,0,0,0,0,0,0,0,0,
2000,173.08093435374352,3.8280067,,,,,,,,,,,0,0,81688.336,126546.66,121845.39,53358.945,71974.43,72094.98,57178.01,119486.83,103220.695,80271.164,63945.555,
1688,173.08093649691355,3.5371177,,,,,,,,,,,0,196575.77,0,0,12248.35,0,0,10896.23,6459.712,7195.3975,8425.224,0,0,
1623,173.0809416184613,3.448382,,,,,,,,,,,0,0,180227.67,256463.95,242490.38,171094.5,188706.72,152128.31,160227.31,252178.66,188798.69,189410.73,174428.66,
1252,173.08095591871776,2.7925208,,,,,,,,,,,0,0,99410.234,136894.02,114203.47,93555.74,93214.76,86655.56,81485.164,115878.2,112748.195,103879.664,75663.95,
1277,173.08097722337325,2.8868506,,,,,,,,,,,0,100762.52,1315.9011,1036.2948,957.6811,7496.159,8010.9116,3211.167,1122.0322,0,1155.5737,4168.157,0,
8641,173.11724968044788,6.4672165,,,,,,,,,,,0,253566.56,221654.02,126124.8,140247.25,247835.89,243315.98,234251.94,251353.22,131238.75,215983.6,226212.95,250349.77,
7867,173.11726580898434,6.2290874,,,,,,,,,,,0,476443.03,512812.53,305072.3,329181.12,493275.28,599741.6,555192.9,612389.2,339216.66,476835.3,519084.4,554938.44,
5482,173.11727407089828,5.493841,,,,,,,,,,,0,49690.242,50820.22,84519.59,83528.24,41566.805,36305.453,35275.53,41684.79,77208.47,53698.125,42600.484,31432.176,
9306,173.1324960758959,6.685094,,,,,,,,,,,0,0,2584.9253,73072.54,75574.71,12209.756,16220.804,9264.672,18633.518,70954.805,8940.904,10374.074,12508.121,
1547,174.05506064366975,3.3570108,,,,,,,,,,,0,0,58506.137,80927.0,81015.42,55019.332,60486.582,52005.203,50275.22,83074.47,56569.883,61994.668,47046.08,
1788,174.11256769061336,3.609759,,,,,,,,,,,0,6275.9766,37967.89,153785.19,153071.17,30218.098,31790.002,87898.445,42561.42,133216.22,37587.766,27822.908,50707.527,
1833,174.11256934241774,3.645611,,,,,,,,,,,0,75780.22,73086.234,38949.016,0,75197.27,51469.94,52635.188,107238.75,34881.305,70810.68,90954.086,90914.33,
1446,174.11257321793687,3.2090468,,,,,,,,,,,0,0,1242444.9,1499109.5,1505424.8,1245696.1,1287781.2,1334822.5,1303901.2,1474725.1,1326424.8,1323019.1,1299559.6,
1494,174.11258059101252,3.3013358,,,,,,,,,,,0,1256746.5,26035.682,31740.05,0,0,0,31845.34,33572.016,0,24161.355,30642.068,0,
15620,174.12776653222934,9.8825,,,,,,,,,,,0,90148.67,104187.14,88910.01,87403.75,93158.44,96908.48,90610.836,96788.85,85344.15,112352.59,101899.18,105283.18,
