row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML Peak area,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML Peak area,
6632,156.99083898338586,15.997477,,,,28,,,,,,,302949.06,42260.547,45504.477,51737.76,30072.094,30208.078,33933.305,34605.367,14512.421,23853.045,41348.348,42314.25,13594.647,
3819,157.10120209640928,10.486894,,,,306,,,,,,,0,58953.492,64415.734,61277.125,59660.086,58878.953,72545.66,79142.02,68608.625,73783.61,105480.26,99552.164,104682.83,
445,158.0965256251243,4.701628,,,,,,,,,,,0,185849.1,63555.76,158486.98,135441.61,152527.08,167359.47,179699.17,189814.78,189614.48,130959.01,113440.05,192133.47,
3501,158.153971872689,9.707944,,,,,,,,,,,0,112410.28,130174.766,130394.164,125169.766,139707.34,128730.17,167225.03,179723.14,165643.97,29725.38,37863.93,36029.86,
3549,158.1539947126636,9.835331,,,,425,,,,,,,891739.75,1941847.4,2106385.0,2068161.5,1996571.0,1983215.5,2144087.2,2343383.5,2393619.5,2309499.5,1888197.0,1973827.2,1961022.6,
4044,159.1167584774619,10.7714615,,,,32,,,,,,,0,76412.2,96301.15,76693.65,77694.13,104123.31,73209.23,87909.875,112714.16,104461.99,149735.7,103441.484,106454.25,
950,160.07573303456093,5.8086686,,,,36,,,,,,,0,131869.62,130333.37,122976.8,110806.02,149144.73,123219.83,173039.22,168169.86,174041.17,99507.484,69424.336,71854.24,
275,160.0758317170624,1.4196647,,,,,,,,,,,0,37776.09,41295.35,34858.227,35855.23,41407.15,35405.71,43021.49,37331.12,39680.26,40953.7,38532.676,35524.65,
6526,161.08207339777624,15.04566,,,,,,,,,,,48266.914,54183.605,57042.984,52172.35,39423.36,66240.19,53670.285,42447.77,36359.195,507291.8,52211.86,365838.47,24285.5,
6487,161.08209984328218,14.715482,,,,,,,,,,,0,0,49738.246,28024.723,51045.96,29381.43,46090.586,26619.256,535480.8,274401.88,54522.125,163050.66,60506.51,
6456,161.08217814676138,14.270005,,,,,,,,,,,11005.216,34195.766,35627.58,31881.693,0,18260.355,16442.682,19439.598,0,37681.562,18510.672,27871.074,121729.94,
3245,161.09607616847796,9.125134,,,,,,,,,,,0,29282.67,40665.22,17384.174,30514.926,0,36236.49,44326.887,40719.953,0,136768.23,259205.44,129210.875,
3490,161.09607965758332,9.686326,,,,129,,,,,,,0,125447.05,107349.234,102865.9,107779.22,108631.64,107048.9,131197.89,156083.78,137742.94,213803.72,159393.11,258779.78,
3290,161.0960945857349,9.211548,,,,138,,,,,,,0,73353.99,78030.22,68194.4,76709.83,95572.92,83908.375,94308.01,144877.67,130098.234,113449.22,136155.28,145224.84,
6616,161.10724952927345,15.907055,,,,,,,,,,,32063.02,28263.4,26607.547,29357.934,26085.879,26366.16,26883.328,25123.03,24997.127,27895.13,27099.184,25955.656,25544.695,
6573,161.1073173103555,15.75111,,,,349,,,,,,,180455.67,147062.36,141451.1,151729.62,149718.36,122498.31,108815.555,132177.27,124334.375,129758.66,134651.12,135987.48,132751.14,
4004,161.132391595888,10.749427,,,,32,,,,,,,0,111748.31,120617.3,159783.52,132222.8,114770.15,131122.34,156856.89,145834.92,155920.66,141465.66,113038.28,148832.08,
4214,161.1325124053079,11.055987,,,,116,,,,,,,0,128916.05,107294.75,175156.33,109670.67,127068.445,114947.6,150581.75,147011.61,150668.06,227120.31,260136.44,246099.1,
1532,162.0549829027891,6.417507,,,,4,,,,,,,0,44396.25,48173.94,49103.57,48481.895,51202.938,39137.59,58687.54,55770.08,59407.72,134242.78,115128.664,116505.26,
344,162.0549852790128,3.133071,,,,,,,,,,,0,77412.67,78680.07,78866.25,79387.016,82586.12,83541.445,89279.195,61236.133,94198.65,82996.84,80928.63,88761.414,
5594,163.0388844154297,12.677438,,,,,,,,,,,0,6778.796,12780.416,12777.488,11623.652,14259.02,12863.897,23725.426,20389.293,21829.945,76898.586,78362.08,80846.195,
2986,163.03893823461792,8.422804,,,,,,,,,,,0,344494.78,345784.06,370647.12,343723.97,357651.84,343513.1,438162.47,463341.03,439438.7,324390.34,303757.7,328350.16,
4362,163.03896731432837,11.260867,,,,217,,,,,,,0,108394.5,96255.97,102876.43,99486.086,100166.18,107343.945,112699.875,121897.28,111226.34,268588.06,262771.56,284801.5,
3469,163.11171869476655,9.654666,,,,155,,,,,,,0,34634.863,83012.99,72538.586,24933.195,89109.36,38490.375,234435.83,201563.17,209688.31,637522.75,641918.56,614445.0,
5374,163.14802721034548,12.505508,,,,94,,,,,,,0,110310.1,157407.5,189788.94,164372.72,159803.55,156183.0,206123.84,239716.55,252241.61,383556.34,386698.22,358722.84,
3869,163.14808598259455,10.54702,,,,187,63,[M-H2O+H]+,,2,3869;3857,180.1514,0,79969.44,95331.86,87695.59,98627.61,90567.47,93557.77,116605.81,112158.84,119222.24,19836.494,17385.344,19948.223,
6621,164.14340156303962,15.918624,,,,11,,,,,,,319643.03,268946.34,265303.53,276916.7,268802.84,255099.61,263856.72,266749.72,236088.83,252942.62,276687.8,256535.1,247335.5,
159,164.92063197599404,0.8600964,,,,,,,,,,,14797.474,153592.64,55439.35,138793.44,57692.15,51861.906,75998.76,100889.02,72431.836,82293.13,135675.22,147396.55,60516.445,
4318,165.05459057716502,11.225351,,,,113,,,,,,,307523.25,169060.03,153143.97,176848.0,156739.73,154395.69,168713.77,173818.38,168727.42,177020.02,159082.38,157626.5,166200.47,
6583,165.98298065747665,15.800135,,,,,,,,,,,90194.945,36777.227,28237.479,56073.766,26785.492,28686.523,29030.379,28272.07,25705.705,27380.305,28960.605,35599.633,27723.746,
6633,165.98301039254608,16.06481,,,,276,,,,,,,188816.9,131106.5,120688.52,135154.22,108120.45,100678.234,114726.29,112757.32,60374.996,67454.484,117093.24,83161.266,36232.87,
5054,167.14304893797063,12.166686,,,,25,,,,,,,0,39855.844,38964.723,49386.223,38869.203,30425.41,39922.03,67083.6,57705.76,64691.977,78558.56,73521.4,110237.91,
1303,168.08802750486046,6.195927,,,,412,,,,,,,12739.4,153562.3,144279.81,135086.75,169842.75,139916.95,168891.16,212005.25,207420.97,200535.97,470942.16,462426.56,498218.62,
286,168.13845158787868,1.4669292,,,,392,,,,,,,0,0,2651.2068,0,0,2340.484,0,18918.615,17809.758,18342.324,91835.664,88189.49,84702.8,
1672,169.08596014926812,6.5541635,,,,191,,,,,,,0,40135.25,35646.477,42884.87,42778.87,39307.273,34292.492,43924.54,50867.168,46814.207,34465.242,48264.938,42250.58,
1904,169.0859780035008,6.8242755,,,,84,,,,,,,0,120585.06,120937.48,119209.87,132343.78,117796.47,129354.41,160728.36,241271.86,173557.61,193472.78,188119.52,204728.36,
1,169.9772756434542,0.023030085,,,,1,,,,,,,40759.41,19672.31,18884.492,46160.66,18464.896,17872.89,17420.88,18302.469,18160.818,18444.898,20002.645,28442.219,17978.705,
6640,169.9774049893666,16.094671,,,,98,,,,,,,804748.5,405432.47,414788.5,396753.56,350979.78,345819.97,357020.2,308585.2,367427.1,305954.88,443083.3,374029.44,288819.0,
2179,170.09643098375045,7.147985,,,,309,,,,,,,0,476806.94,475581.9,496369.2,484005.56,466498.1,471083.9,487332.66,550997.6,518444.47,444106.7,403772.5,455403.56,
4208,171.11685214620545,11.055036,,,,116,,,,,,,0,56812.086,45082.03,41305.844,55610.676,46964.47,58979.445,63432.746,73992.7,67757.31,88110.33,61498.473,90835.43,
3699,171.13797281425875,10.218558,,,,178,,,,,,,0,60638.617,70920.64,64102.414,70444.55,73209.66,65292.35,70574.914,77547.81,79155.33,49769.566,48700.133,60392.32,
2375,171.14919365294688,7.3879166,,,,,,,,,,,20994.207,68039.41,65666.875,65471.336,64143.54,70904.46,68482.484,78758.27,85711.66,81919.89,91838.21,83407.06,93817.305,
3867,172.16957173501726,10.547914,,,,187,,,,,,,0,273214.9,279972.9,294475.06,273014.44,296041.78,296005.84,376652.38,305150.1,326039.94,64034.594,62353.64,74077.08,
3755,172.1695799806056,10.368564,,,,,,,,,,,0,142551.16,80432.516,131571.45,75916.484,79708.64,117429.35,99285.15,100154.79,126480.77,136550.75,118714.625,69308.58,
3629,172.16960280522787,10.051195,,,,,,,,,,,6080.9146,1671201.0,1790589.0,1718990.1,1674190.9,1719319.0,1680863.1,1978641.5,1954130.0,1964167.6,1696974.6,1804519.1,1788135.9,
5363,173.13243206644702,12.505508,,,,94,,,,,,,0,60412.33,69115.836,85953.39,77842.61,81862.734,75131.58,87495.32,110373.47,104603.445,207830.2,190966.39,184658.8,
3864,173.132497828872,10.544665,,,,187,62,[M-2H2O+H]+,,2,3864;3858,208.1464,0,43322.902,62141.0,86502.8,65755.44,68662.79,77239.55,109477.95,96918.625,95665.25,59223.875,40073.527,44546.875,
4335,173.13254132692225,11.24705,,,,217,,,,,,,0,57833.523,75854.15,55891.773,64970.484,62568.906,63940.49,87037.88,93978.11,74776.83,145732.94,231873.31,95413.27,
4467,173.13256590866368,11.427634,,,,232,,,,,,,0,78210.6,55642.08,47273.164,52056.152,46270.414,50937.28,54224.758,77769.234,52480.94,61222.684,53944.797,60667.324,
4303,173.13257071022068,11.186288,,,,77,,,,,,,0,84400.08,100751.4,60688.8,65563.89,181552.92,72235.64,136453.77,159476.97,146706.84,93137.54,103697.44,104254.5,
5035,174.12773843730352,12.144688,,,,49,,,,,,,11575.514,61472.152,50578.902,50188.04,53928.31,56356.508,41850.36,55072.125,56612.59,55261.527,29717.074,26694.074,23896.6,
3031,175.1117716105048,8.531329,,,,,,,,,,,0,45504.883,50796.79,58725.008,0,50628.918,48527.53,70768.96,80560.07,43808.86,77754.5,74208.03,103504.125,
3649,175.11179241919953,10.071206,,,,186,,,,,,,0,71394.62,74988.625,82054.39,78816.01,81022.484,78681.14,94382.195,130551.96,86053.0,136197.34,113457.98,179227.45,
3823,175.1118000602158,10.48709,,,,306,,,,,,,0,108912.67,158318.6,158486.67,136633.0,125979.48,106890.43,208398.1,140614.25,136452.77,262816.25,160249.52,185189.97,
6556,175.12294228537522,15.569615,,,,,,,,,,,0,39645.93,34731.742,53417.19,58388.754,21822.043,72922.125,47468.637,20319.5,47926.266,0,0,20054.963,
6567,175.12297419138343,15.69953,,,,,,,,,,,0,133387.08,125311.16,110653.45,401139.7,0,0,0,0,0,0,46955.293,0,
6413,175.1230178575726,13.873688,,,,,,,,,,,60801.535,0,41678.14,43783.29,18427.22,29264.086,22178.66,44232.055,35660.71,32517.234,172008.98,35124.59,42579.297,
6574,175.12303425793036,15.75111,,,,349,,,,,,,497378.8,405088.2,380669.16,412738.9,139609.06,345555.25,306694.34,385934.75,341368.78,354698.34,401225.0,396008.8,365780.38,
4788,175.1481886411259,11.862494,,,,323,,,,,,,0,101960.17,131088.6,94086.19,93071.125,76504.375,62030.496,173665.94,97235.76,114689.45,86217.58,94982.05,92279.914,
4523,175.14819597490614,11.502791,,,,202,,,,,,,0,109730.9,75862.4,116412.85,71520.82,90927.75,84008.99,74786.44,125384.805,87816.836,164139.47,139988.69,118925.25,
3017,177.09101543194583,8.508364,,,,,,,,,,,0,137421.83,76945.39,70270.53,77625.56,66793.22,72186.78,85829.88,228738.0,196268.95,99076.54,96085.695,262951.66,
1596,177.09107136012415,6.48316,,,,273,,,,,,,0,79750.766,81789.09,74802.14,63520.664,74696.055,77799.4,81751.2,71101.75,78305.32,79013.56,65593.125,71226.234,
4038,177.12734369156342,10.767268,,,,32,,,,,,,0,133018.42,148499.56,124761.09,133986.95,120324.53,92501.4,144178.52,133860.48,134506.08,126412.836,143528.58,131125.62,
3462,177.12741895082618,9.650922,,,,,,,,,,,0,71455.01,59102.36,73101.41,61114.484,69789.32,88611.53,82287.94,94057.68,87155.16,19816.617,21362.533,29437.297,
5741,177.16370406109857,12.817573,,,,57,,,,,,,0,113276.34,120487.23,142872.8,135444.45,140881.27,107201.83,175383.73,166122.92,201000.08,254662.95,176591.78,224658.97,
4770,177.16383822127932,11.807312,,,,209,,,,,,,0,75616.87,82872.43,44228.465,52219.047,64568.582,45504.89,48538.996,47630.99,41121.027,25038.273,21446.066,27761.42,
6625,178.15904803709176,15.932329,,,,11,,,,,,,779335.0,663835.7,647814.44,660315.44,662952.1,642693.56,655723.94,637799.8,582580.9,631116.7,653048.5,606215.1,583088.0,
6515,179.09261784531736,15.037121,,,,,,,,,,,35462.46,53178.664,50618.39,53508.98,49107.96,66362.81,0,52901.37,51241.0,500009.56,21607.21,31272.312,27993.223,
6531,179.09268536801483,15.107904,,,,,,,,,,,48125.08,0,25213.963,49802.414,39459.11,0,52276.633,38504.156,47751.203,49855.78,40493.223,354714.88,51348.68,
6485,179.09268904691746,14.706752,,,,,,,,,,,0,43505.035,25738.209,19730.895,48358.195,38283.938,47913.53,25304.613,53243.977,291249.7,176975.61,314526.22,34913.125,
6552,179.09270841773272,15.492161,,,,,,,,,,,51267.004,0,52490.45,0,53586.43,51576.297,53094.97,49952.293,0,51717.26,427540.06,53397.85,0,
6441,179.0927168101502,14.120544,,,,,,,,,,,29274.203,14515.227,32170.566,31224.098,28900.066,23865.621,31236.975,107343.984,32353.312,15705.017,21628.488,36606.676,17275.621,
6458,179.09276326095824,14.279687,,,,,,,,,,,14100.021,35154.695,0,37425.844,52902.2,20113.129,30819.492,0,15171.559,41404.438,127034.89,38335.492,134878.05,
3409,179.1066451537067,9.471555,,,,333,,,,,,,0,79096.67,66951.16,82722.53,105866.72,82171.08,88036.83,119742.945,151914.8,135145.8,113963.53,104626.86,101377.695,
3492,179.1066663273451,9.689523,,,,129,,,,,,,0,77658.734,79895.21,87148.44,76472.43,76631.54,89510.53,107756.39,106620.13,107759.055,106109.195,119183.86,129030.484,
3288,179.10667654021324,9.21543,,,,138,,,,,,,0,166656.53,214330.8,188855.39,193581.98,193949.89,220010.39,276880.53,270293.66,251045.33,257695.56,272608.9,288945.75,
1519,179.10671483683146,6.407231,,,,85,,,,,,,0,46791.63,70460.37,75903.95,61422.047,78237.016,62415.234,134600.69,144892.03,148094.4,373444.03,352178.84,385247.88,
1892,179.10672045772083,6.807634,,,,238,,,,,,,0,94861.34,168985.23,169440.45,124193.94,163592.11,121612.57,270941.97,283317.94,246951.27,573775.5,583771.06,611605.94,
4087,179.1430567896488,10.868733,,,,0,,,,,,,0,75741.81,75585.445,66588.21,57503.94,73559.766,69743.15,68711.49,97825.78,74188.59,85882.12,76832.25,92928.21,
4215,179.14310470699866,11.055987,,,,116,,,,,,,0,106773.82,120585.41,117438.78,94028.625,89233.81,121898.99,105906.15,99051.92,107807.79,138109.0,159848.22,128679.16,
407,180.10195090787138,4.476698,,,,255,,,,,,,0,27671.14,32948.22,25382.58,29709.03,31751.205,31326.055,32933.96,66083.4,41531.477,93921.766,95713.16,103608.26,
210,180.10201228744663,1.0313524,,,,,,,,,,,0,67366.414,64197.926,66567.49,30254.846,61395.32,26999.355,34190.32,44485.348,25488.824,40578.727,41071.566,28671.389,
140,180.1020234349738,0.8080327,,,,,,,,,,,0,63078.68,74401.04,58997.152,63183.41,71324.53,64680.152,59058.727,70456.05,86165.9,71310.34,61099.4,102995.31,
246,180.10202701568042,1.2028226,,,,283,,,,,,,0,168952.4,166518.73,139613.72,128014.57,105327.16,167724.5,231562.92,221239.89,186306.2,238372.08,304060.16,271136.38,
3863,180.17467398781875,10.54702,,,,187,64,[M+NH4]+,,2,3863;3869,162.1408,0,208197.42,242103.62,204145.84,220201.19,206739.0,242894.14,300768.7,268242.28,315320.22,47192.2,40206.633,44565.227,
3193,180.1746811297501,9.002635,,,,152,,,,,,,20223.46,71479.68,86525.08,78998.89,86074.62,82486.875,70403.586,40943.5,48496.625,48309.81,0,0,0,
6582,181.01448123041052,15.800135,,,,,,,,,,,233105.73,76530.42,133313.05,81902.52,155021.22,50362.637,117564.77,113102.85,53297.035,143576.34,138920.48,178219.6,142814.8,
6641,181.01456927737362,16.091763,,,,,,,,,,,349711.72,236280.12,199507.56,0,182722.81,661251.25,192733.38,256453.78,426955.66,180327.08,284958.28,300912.7,428294.78,
3111,181.085880840905,8.74913,,,,58,,,,,,,0,131835.56,133986.39,140233.02,141329.69,130314.375,125918.57,166171.16,165918.27,175412.19,202493.73,201244.06,167286.38,
3202,181.0858821080568,9.020814,,,,171,,,,,,,0,77474.48,103869.93,85764.0,84450.49,99742.11,68995.164,117509.01,103470.9,116025.46,157081.19,191008.33,207726.98,
3477,181.1129361844313,9.655807,,,,,,,,,,,0,0,0,0,0,0,0,19062.932,18853.414,15045.906,30537.219,38468.074,40743.742,
3992,181.122238695472,10.733808,,,,274,,,,,,,0,179877.0,171756.34,230413.72,181306.98,188062.34,147103.86,230234.2,206201.23,277547.75,209999.27,278411.4,317590.47,
3943,181.1222636639247,10.64619,,,,31,,,,,,,0,43651.023,94724.8,54807.664,55447.11,67798.266,50349.47,468582.7,158001.28,153614.7,187663.39,199917.52,374733.06,
3471,181.12231853216747,9.654321,,,,155,,,,,,,0,129000.25,963353.4,981307.6,161197.05,1022242.56,153085.88,3798649.8,3504469.5,3563585.0,1.1000366E7,1.0171315E7,1.0995017E7,
5375,181.15859019790514,12.505508,,,,94,,,,,,,0,64570.156,97207.266,124248.04,98734.945,102002.46,85786.73,140939.0,164018.86,158342.64,243170.53,272805.66,228825.66,
4597,181.15863273242766,11.586423,,,,270,,,,,,,0,89769.01,74811.39,79649.95,74780.59,81927.03,76953.32,104892.49,108879.13,109653.41,114543.15,107258.19,105090.24,
4747,181.1587096329431,11.771451,,,,45,,,,,,,0,44267.04,59078.3,30256.156,41994.668,41160.562,30055.973,72390.625,61375.867,67829.98,53761.46,52626.855,56741.613,
2561,182.10404144076165,7.692523,,,,199,,,,,,,0,0,0,0,0,0,0,1402.897,1780.8093,0,108677.29,86461.12,111425.75,
1930,182.11764103558065,6.8596754,,,,173,,,,,,,204544.17,96553.21,99375.82,101732.91,103844.85,105900.67,93804.36,117889.3,117971.16,116426.26,95275.94,116736.21,109653.266,
1642,182.19045555267428,6.524864,,,,395,,,,,,,0,42931.07,42191.09,44338.914,48819.89,42239.188,43507.52,52067.695,60195.742,53142.664,45180.305,44279.69,47151.47,
2355,183.10164876467516,7.370621,,,,22,,,,,,,0,133659.28,134996.55,130406.26,148720.62,120012.7,123943.5,165968.48,165068.95,149880.8,136591.22,158418.08,147087.84,
4103,186.18530657689146,10.899101,,,,364,,,,,,,0,53429.062,50163.996,58812.83,62067.58,64735.15,47460.32,69742.9,59220.14,64133.984,56189.754,52352.504,54031.78,
4274,186.18534151132337,11.156508,,,,,,,,,,,0,108124.42,105166.695,119155.96,99393.24,118296.945,117299.61,136810.06,115848.71,116973.336,31996.09,39905.355,37259.906,
4587,187.14814526074667,11.579949,,,,270,,,,,,,0,47322.85,111794.91,96037.67,56499.355,103180.66,109359.98,78706.25,162715.03,129721.93,139281.25,158017.44,98487.01,
363,188.07071536109007,3.7075138,,,,,,,,,,,0,139560.31,180761.77,172695.61,148639.92,189110.05,140168.02,127610.086,130812.695,131580.31,14866.754,20809.531,17877.348,
3385,189.1273682620813,9.439853,,,,,,,,,,,0,51422.848,62073.242,62756.53,36791.316,76147.64,67214.06,131985.77,120939.1,129283.54,255057.02,251170.78,179748.45,
3329,189.12740076516343,9.323877,,,,,,,,,,,0,38788.062,43728.74,42239.598,38298.14,44749.047,33513.965,58979.492,74426.375,68592.555,107439.18,111991.67,118418.97,
3474,189.1274173241652,9.66164,,,,311,,,,,,,0,130728.38,148707.58,126848.16,129899.95,129990.45,110154.66,227943.44,226670.08,198801.45,201128.86,198474.94,264729.0,
4416,189.12744773608821,11.345456,,,,,,,,,,,0,71715.89,99072.72,203203.4,76387.38,178016.61,80574.86,306554.9,199991.14,193870.8,248691.75,166511.81,168286.8,
4206,189.12746620058476,11.053964,,,,116,,,,,,,0,129321.39,281038.03,211638.12,113669.67,179646.02,156027.45,244698.75,153754.39,166821.97,170572.84,162918.38,153920.1,
6483,190.0497325814875,14.702275,,,,48,,,,,,,0,0,23063.654,25267.479,0,25710.623,0,58311.918,55633.016,71923.875,86821.86,77042.15,84821.56,
3844,190.0498779941286,10.536655,,,,187,,,,,,,0,158330.47,176332.6,162038.44,170780.11,165976.27,179565.94,197182.62,202536.77,200137.0,187786.94,200580.4,192524.0,
3483,190.04989284081725,9.678753,,,,129,54,[M+K]+,,2,3483;3488,151.0876,0,72897.31,72482.17,81576.664,73160.07,72751.01,75865.35,85595.65,80401.63,86737.99,60601.64,58589.414,53026.742,
5251,190.0498997524818,12.38062,,,,10,,,,,,,356162.62,228586.5,246364.34,268697.53,240944.88,243432.34,243764.16,229844.31,226088.12,233963.06,253469.81,266665.22,253907.92,
362,190.1439041900111,3.7044284,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,126557.41,125604.945,124918.44,
1608,190.15907911369663,6.494068,,,,,,,,,,,0,0,2030.1929,7525.0986,0,5214.3076,0,24868.291,236833.89,0,243591.9,810932.9,777814.3,
1709,190.15910703820154,6.611993,,,,,,,,,,,0,0,14944.182,0,0,21395.512,0,246365.89,84272.08,222515.33,797476.2,230248.75,244719.66,
674,191.0814952963713,5.361179,,,,229,18,[M-2H2O+Na]+,,2,672;674,204.1143,0,67808.445,72888.47,75231.95,63645.707,69156.19,58201.156,75873.72,80495.695,73677.73,73538.52,67658.58,72409.25,
3934,191.10662500617786,10.644767,,,,31,,,,,,,0,69721.22,97649.05,95945.63,82967.58,110984.58,87252.625,120375.53,130136.89,116973.73,167956.53,193212.23,185511.61,
3754,191.10667827102097,10.356879,,,,,,,,,,,0,64726.234,71790.71,63166.973,66988.8,79666.375,72665.16,87680.82,86519.234,73644.5,107535.3,108510.57,101143.13,
2480,191.1066918463697,7.5428395,,,,,,,,,,,0,76399.625,70330.08,52283.9,140194.39,80183.33,80777.016,83669.5,78339.31,86332.87,79161.914,78003.39,86319.04,
4011,191.1429470919186,10.74966,,,,,,,,,,,0,75853.38,78987.3,79930.51,67808.95,81255.37,80721.17,73994.9,71976.59,65297.75,25582.65,24476.822,23495.59,
2867,191.14303503187136,8.222875,,,,,,,,,,,0,2520.9165,14427.306,11583.696,6780.126,16510.127,4637.0176,5201.153,16019.441,6500.749,63338.707,64989.566,88080.305,
4570,191.14304339500197,11.566147,,,,,,,,,,,0,70621.734,87477.164,161876.61,73463.586,142289.47,144066.17,235636.02,252385.33,231870.23,89000.16,140903.06,146064.14,
4300,191.14308705801446,11.181012,,,,77,,,,,,,0,101751.14,152081.11,142975.3,140824.89,153480.9,131727.48,127939.54,161032.84,137726.08,117691.13,226006.05,98857.625,
4179,191.1430897906024,11.024689,,,,433,,,,,,,0,25694.268,24014.57,27198.398,0,22167.703,27872.365,20646.793,27429.473,36292.438,239542.31,196321.28,229037.73,
6068,191.17931232693888,13.115602,,,,161,,,,,,,0,58934.758,70364.914,78098.36,57865.277,64994.043,82725.21,90176.35,118507.86,113385.56,170137.56,196911.7,202575.84,
5036,191.1794064527552,12.144329,,,,,,,,,,,0,87718.445,92798.82,88206.72,85030.42,92137.26,90916.305,130028.914,116744.29,112528.695,114879.375,109641.97,115100.414,
3439,192.1383022217201,9.54022,,,,271,,,,,,,7858.1416,1160535.5,1160298.6,1176473.2,1143750.5,1195233.1,1158652.0,1297439.6,1289266.4,1304817.9,1156904.6,1198446.6,1149817.1,
2752,192.17478008745513,8.003689,,,,148,,,,,,,0,0,7592.0625,16985.963,0,14459.763,0,101132.25,83783.695,85507.79,193135.7,248259.55,238665.78,
2125,193.0860350899092,7.0765896,,,,214,,,,,,,0,151011.19,121008.13,119225.84,155919.61,144167.19,133071.97,103315.266,179765.8,100310.47,75580.27,75857.64,79705.66,
