row ID,row m/z,row retention time,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML Feature status,DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML Feature m/z,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML Feature status,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML Feature m/z,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML Feature status,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML Feature m/z,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML Feature status,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML Feature m/z,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML Feature status,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML Feature m/z,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML Feature status,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML Feature m/z,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML Feature status,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML Feature m/z,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML Feature status,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML Feature m/z,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML Feature status,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML Feature m/z,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML Feature status,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML Feature m/z,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML Feature status,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML Feature m/z,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML Feature status,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML Feature m/z,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML Feature status,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML Feature m/z,
18,252.1443953485182,0.76962787,,,,,,,,UNKNOWN,0,ESTIMATED,252.14469797502093,ESTIMATED,252.1446218121531,ESTIMATED,252.14463994719918,ESTIMATED,252.14450515393935,ESTIMATED,252.1443421194516,ESTIMATED,252.14457994682016,ESTIMATED,252.1444647422852,ESTIMATED,252.14434688641754,ESTIMATED,252.1443230263686,ESTIMATED,252.14413793692637,DETECTED,252.143996058676,DETECTED,252.14408857696077,
19,365.10585692206575,0.7697626,,,,,,,,ESTIMATED,365.1056081506154,DETECTED,365.1062172906126,DETECTED,365.1061714795408,DETECTED,365.1062823514294,ESTIMATED,365.10612135245395,DETECTED,365.105749134456,DETECTED,365.10610724580613,DETECTED,365.105893493851,DETECTED,365.1058598004387,ESTIMATED,365.10573230780614,DETECTED,365.1055992060386,DETECTED,365.1053446627439,DETECTED,365.10545351106214,
20,277.0897381666981,0.7733606,,,,,,,,ESTIMATED,277.089605897307,ESTIMATED,277.09003328062727,ESTIMATED,277.0899406360608,ESTIMATED,277.0900047099659,ESTIMATED,277.0897218239701,ESTIMATED,277.0896946757108,ESTIMATED,277.0899849602645,ESTIMATED,277.0898006969064,ESTIMATED,277.0896624940171,ESTIMATED,277.0896485792011,DETECTED,277.0896130424078,DETECTED,277.08939578440544,DETECTED,277.0894895862316,
21,236.14946605409386,0.77625823,81,,,,,,,UNKNOWN,0,DETECTED,236.14967135094352,DETECTED,236.14959891212547,DETECTED,236.1496698419791,DETECTED,236.14952832043159,DETECTED,236.14943529689495,DETECTED,236.1496297004869,DETECTED,236.149499624538,DETECTED,236.14942247138157,DETECTED,236.14938578118876,DETECTED,236.14934335269498,DETECTED,236.14915957502623,DETECTED,236.14924842143503,
23,335.0951517964681,0.7786568,81,,,,,,,UNKNOWN,0,DETECTED,335.0954445530518,ESTIMATED,335.0953838382743,DETECTED,335.0956062470437,DETECTED,335.09525663972687,ESTIMATED,335.0950375781512,DETECTED,335.0954438773216,DETECTED,335.0952270771329,ESTIMATED,335.09498738733373,DETECTED,335.09500919653027,DETECTED,335.09486626750856,DETECTED,335.0946950497565,DETECTED,335.0948638457861,
26,245.11352711871405,0.7830429,,,,,,,,UNKNOWN,0,ESTIMATED,245.11367854475753,ESTIMATED,245.11361223712632,ESTIMATED,245.11375136426253,ESTIMATED,245.11355429102383,DETECTED,245.11344500112364,ESTIMATED,245.1136072927988,ESTIMATED,245.11355192904585,ESTIMATED,245.11348189830684,ESTIMATED,245.1134308839509,ESTIMATED,245.1134665577197,ESTIMATED,245.11333652518277,DETECTED,245.11340889927,
28,527.1588677588855,0.7874536,81,,,,,,,UNKNOWN,0,ESTIMATED,527.1593758875789,ESTIMATED,527.1591609063803,DETECTED,527.159324539737,DETECTED,527.1591389832811,ESTIMATED,527.1586327785941,ESTIMATED,527.1589296812974,DETECTED,527.1588775285055,DETECTED,527.1587320924783,DETECTED,527.1587013957379,DETECTED,527.1586963473418,DETECTED,527.1583621432374,DETECTED,527.1584808224567,
36,206.13887445566013,0.7931275,213,,,,,,,UNKNOWN,0,DETECTED,206.13900983352065,DETECTED,206.1389617075093,DETECTED,206.1390977015657,DETECTED,206.1389218741371,ESTIMATED,206.1388303689489,ESTIMATED,206.1389708759082,DETECTED,206.13893015697903,DETECTED,206.13882855348476,DETECTED,206.13875455033207,DETECTED,206.13879021042524,DETECTED,206.1386757822612,ESTIMATED,206.1387218528497,
37,689.2110924744962,0.79320306,,,,,,,,UNKNOWN,0,ESTIMATED,689.2111509600804,ESTIMATED,689.2120737484331,ESTIMATED,689.2118212465921,ESTIMATED,689.2115362924461,ESTIMATED,689.2105779326506,ESTIMATED,689.211153382168,DETECTED,689.2112687204975,DETECTED,689.2108748252928,DETECTED,689.211084103086,DETECTED,689.2105255523942,DETECTED,689.2104479103856,DETECTED,689.2105950199287,
39,217.06852853550413,0.7937994,,,,,,,,UNKNOWN,0,ESTIMATED,217.06863862539956,DETECTED,217.068645314686,DETECTED,217.0688266937596,DETECTED,217.06859306253693,ESTIMATED,217.06840480770552,ESTIMATED,217.06858929623561,DETECTED,217.068601220494,DETECTED,217.06845010634325,DETECTED,217.0683782403815,DETECTED,217.0684582097028,ESTIMATED,217.068319726592,DETECTED,217.06843712221252,
46,310.1499033227629,0.80049604,213,,,,,,,UNKNOWN,0,DETECTED,310.1500501860157,DETECTED,310.15006787738366,DETECTED,310.15033700978216,DETECTED,310.14995863380017,DETECTED,310.14976318835875,DETECTED,310.1500004603671,DETECTED,310.14996992493553,DETECTED,310.14982587730583,DETECTED,310.14973639193846,DETECTED,310.1497775907899,DETECTED,310.1496150956615,DETECTED,310.14973763681667,
47,379.1215404510167,0.80049604,213,,,,,,,UNKNOWN,0,DETECTED,379.1217233112909,DETECTED,379.12172506757474,DETECTED,379.1220888931081,DETECTED,379.1217098198266,DETECTED,379.1213894058955,DETECTED,379.12169477688695,DETECTED,379.1216291104613,DETECTED,379.12141606129865,DETECTED,379.12135169652186,DETECTED,379.1213462626363,DETECTED,379.12113620061734,DETECTED,379.12127480608257,
48,307.15005864498846,0.80145097,213,,,,,,,UNKNOWN,0,DETECTED,307.150229261591,DETECTED,307.1502988977015,ESTIMATED,307.1504114891341,DETECTED,307.1501048364348,DETECTED,307.14985865203,DETECTED,307.1501484783627,DETECTED,307.15016831741946,DETECTED,307.1499761069903,DETECTED,307.14992018324347,DETECTED,307.1499157018255,DETECTED,307.14979899831684,DETECTED,307.14987281681226,
49,280.1393620850361,0.8037668,213,,,,,,,UNKNOWN,0,DETECTED,280.1395485979997,DETECTED,280.1394253137958,DETECTED,280.1397317989727,DETECTED,280.139472603452,DETECTED,280.1392378798349,ESTIMATED,280.1395114368655,DETECTED,280.13940682476175,DETECTED,280.1392777067487,DETECTED,280.1391744236809,DETECTED,280.1392019303545,DETECTED,280.13909808848587,DETECTED,280.13925841548115,
52,349.11096783256363,0.8048802,213,,,,,,,UNKNOWN,0,DETECTED,349.111165180157,DETECTED,349.11117172358394,ESTIMATED,349.1114309717732,DETECTED,349.1110607360917,DETECTED,349.1108533511225,DETECTED,349.11114535866886,DETECTED,349.111042760492,DETECTED,349.11083182647576,DETECTED,349.1107888719254,DETECTED,349.110790053721,DETECTED,349.11060208964386,DETECTED,349.11073106710865,
54,250.16514259086532,0.80603105,213,,,,,,,UNKNOWN,0,DETECTED,250.16526043180986,DETECTED,250.16525541796514,DETECTED,250.16544920973595,DETECTED,250.165232583643,DETECTED,250.16503962058462,DETECTED,250.16526326124378,DETECTED,250.16514747550625,DETECTED,250.16502557256854,DETECTED,250.16498169126012,DETECTED,250.1650465858685,DETECTED,250.16497094366093,DETECTED,250.16503829653684,
56,296.1347336475528,0.80603105,213,,,,,,,UNKNOWN,0,DETECTED,296.1349882299703,DETECTED,296.13492707181956,DETECTED,296.1351995455563,DETECTED,296.1348809901052,DETECTED,296.1346663832012,DETECTED,296.13501248236287,DETECTED,296.13477087782167,DETECTED,296.1345737899465,DETECTED,296.1345258292309,DETECTED,296.13448437530064,DETECTED,296.13430187181393,DETECTED,296.13447232350484,
57,319.1003601873285,0.80603105,213,,,,,,,UNKNOWN,0,DETECTED,319.1005890180615,DETECTED,319.1004755299539,DETECTED,319.1008444698541,DETECTED,319.10054914215226,DETECTED,319.10018802681094,DETECTED,319.1004412843895,DETECTED,319.1004180200481,DETECTED,319.10027726987255,DETECTED,319.1001717991038,DETECTED,319.10021437889145,DETECTED,319.09999964377187,DETECTED,319.1001536650315,
60,348.1762665721894,0.80477566,213,,,,,,,UNKNOWN,0,ESTIMATED,348.1764609864502,DETECTED,348.17653486979646,ESTIMATED,348.17663904829163,DETECTED,348.17637365080236,DETECTED,348.17617296545427,DETECTED,348.1764203819173,DETECTED,348.1764335355171,DETECTED,348.1762194831876,DETECTED,348.1761477970824,DETECTED,348.1760238955795,ESTIMATED,348.17586076789866,DETECTED,348.17591148429517,
65,305.084610766804,0.80603105,213,,,,,,,UNKNOWN,0,DETECTED,305.0847990614345,DETECTED,305.0847375453819,ESTIMATED,305.085016188803,DETECTED,305.0847661774742,DETECTED,305.0844369526677,DETECTED,305.08477522191856,DETECTED,305.08466771602497,DETECTED,305.0844978645461,DETECTED,305.08446081586885,DETECTED,305.0844259399348,DETECTED,305.08431181919286,DETECTED,305.08443389840085,
66,324.165568913545,0.80603105,213,,,,,,,UNKNOWN,0,DETECTED,324.1657254643192,DETECTED,324.1657539343902,ESTIMATED,324.1660846555663,DETECTED,324.1657247403699,DETECTED,324.1654177607007,DETECTED,324.1656874102056,DETECTED,324.16558576357437,DETECTED,324.1654307632482,DETECTED,324.1653932146027,DETECTED,324.1654017960285,DETECTED,324.1652433830729,DETECTED,324.16537807646125,
71,275.1239707545681,0.805419,213,,,,,,,ESTIMATED,275.1236877441406,DETECTED,275.12412635057484,DETECTED,275.1241002435351,ESTIMATED,275.12435960246415,DETECTED,275.12409506633657,DETECTED,275.12386981320486,DETECTED,275.12410815338336,DETECTED,275.12402396812695,DETECTED,275.12386165104476,DETECTED,275.123820064283,DETECTED,275.1238976278523,ESTIMATED,275.12379097773777,ESTIMATED,275.12387854670044,
72,321.1658132292711,0.80603105,,,,,,,,UNKNOWN,0,ESTIMATED,321.1659704046668,DETECTED,321.1658963296147,ESTIMATED,321.16634619819297,ESTIMATED,321.16596921109044,DETECTED,321.16558594215786,DETECTED,321.165903035396,DETECTED,321.16584988864776,DETECTED,321.16573969352527,ESTIMATED,321.1656892907126,DETECTED,321.16567643118435,DETECTED,321.1655083016128,ESTIMATED,321.1656240244519,
76,266.1600561686718,0.80603105,213,,,,,,,UNKNOWN,0,DETECTED,266.16004938533746,DETECTED,266.1601907969793,ESTIMATED,266.16040632625294,DETECTED,266.16007573840335,DETECTED,266.15994500172326,DETECTED,266.1601667253208,DETECTED,266.160107584235,DETECTED,266.15996772190573,DETECTED,266.1599064097322,DETECTED,266.1599941844588,ESTIMATED,266.1598777563773,DETECTED,266.1599863933351,
80,259.1291773858257,0.805419,213,,,,,,,ESTIMATED,259.1289367675781,ESTIMATED,259.12929870917327,DETECTED,259.12931587586183,ESTIMATED,259.12955792151956,DETECTED,259.1292837200746,DETECTED,259.1290842032247,ESTIMATED,259.1293221394404,DETECTED,259.1292158100311,DETECTED,259.12909441905265,DETECTED,259.1290318352775,DETECTED,259.12909221343057,ESTIMATED,259.1289978027344,DETECTED,259.1290745983352,
97,541.1743054307284,0.80603105,213,,,,,,,UNKNOWN,0,ESTIMATED,541.1743611797582,DETECTED,541.1744886987711,ESTIMATED,541.1751048204204,ESTIMATED,541.174715555634,DETECTED,541.1740754736608,DETECTED,541.1744412025657,DETECTED,541.174254292401,DETECTED,541.1743395952011,DETECTED,541.1739873264115,DETECTED,541.1740790364107,ESTIMATED,541.1738240795185,DETECTED,541.1739939079873,
105,333.1160056121406,0.80720913,213,,,,,,,ESTIMATED,333.1156005859375,DETECTED,333.1162734989519,DETECTED,333.1162341784104,ESTIMATED,333.1166566575067,ESTIMATED,333.1162732059722,DETECTED,333.11580754934874,DETECTED,333.11621215698784,DETECTED,333.1161136039606,DETECTED,333.1157920407569,DETECTED,333.11577819064325,DETECTED,333.11586663362965,DETECTED,333.1156907780468,DETECTED,333.11577387767557,
106,347.14523748013966,0.805419,,,,,,,,ESTIMATED,347.14471435546875,ESTIMATED,347.14539085072136,DETECTED,347.1454439213727,ESTIMATED,347.1458051259813,ESTIMATED,347.14543516159785,ESTIMATED,347.1451388315438,ESTIMATED,347.14545082488377,DETECTED,347.145285756388,DETECTED,347.14513077929007,DETECTED,347.1450633095782,DETECTED,347.1451237248947,ESTIMATED,347.1450054809946,DETECTED,347.1450991191007,
107,361.1609155356212,0.805419,,,,,,,,ESTIMATED,361.1605529785156,ESTIMATED,361.16113361950767,DETECTED,361.1610696630031,ESTIMATED,361.1614880811563,ESTIMATED,361.16109325741655,ESTIMATED,361.16077127860797,ESTIMATED,361.16110090009954,DETECTED,361.16096441143844,DETECTED,361.16077335638136,DETECTED,361.16073099609997,DETECTED,361.1608097886542,ESTIMATED,361.1606643044525,DETECTED,361.16074932774245,
128,231.08419239565106,0.80797035,,,,,,,,UNKNOWN,0,ESTIMATED,231.08433915224646,DETECTED,231.0842524127626,ESTIMATED,231.0845054704608,ESTIMATED,231.0843305076071,ESTIMATED,231.08405662811444,ESTIMATED,231.08432027125724,DETECTED,231.08423922268585,DETECTED,231.08410789187067,DETECTED,231.08404572483374,ESTIMATED,231.08412061949116,ESTIMATED,231.0839417548403,DETECTED,231.08404909164176,
132,202.18028432360038,0.805419,,,,,,,,ESTIMATED,202.18017578125,ESTIMATED,202.18036483532492,DETECTED,202.18039369707324,ESTIMATED,202.18052865137207,ESTIMATED,202.1803694850123,ESTIMATED,202.1802409360571,ESTIMATED,202.180403457981,ESTIMATED,202.18030202294105,DETECTED,202.18020862825938,DETECTED,202.1801500810178,ESTIMATED,202.18020465565792,ESTIMATED,202.18014526367188,DETECTED,202.18020871118645,
134,285.14474200953225,0.80603105,,,,,,,,UNKNOWN,0,ESTIMATED,285.144868598069,DETECTED,285.1448906396725,ESTIMATED,285.1451813415969,ESTIMATED,285.14488810087977,ESTIMATED,285.1446279382307,ESTIMATED,285.144900513116,ESTIMATED,285.14476114916613,DETECTED,285.1446145159916,DETECTED,285.1445644894156,ESTIMATED,285.1445695885276,ESTIMATED,285.14447716589694,DETECTED,285.1445600738237,
138,331.1501968595743,0.8080327,,,,,,,,UNKNOWN,0,ESTIMATED,331.15036795582813,DETECTED,331.15029336804827,ESTIMATED,331.1507427159895,ESTIMATED,331.1502252776443,ESTIMATED,331.1499772354948,ESTIMATED,331.1505055122745,DETECTED,331.15025547143455,DETECTED,331.15002957553156,DETECTED,331.1499868810525,DETECTED,331.15012205707467,ESTIMATED,331.14988613080266,DETECTED,331.14997013371584,
140,180.1020234349738,0.8080327,,,,,,,,UNKNOWN,0,ESTIMATED,180.10210905948705,DETECTED,180.10208278615286,ESTIMATED,180.10222551793862,ESTIMATED,180.10211121633716,ESTIMATED,180.1019657020652,ESTIMATED,180.10211871885187,ESTIMATED,180.10206358061652,ESTIMATED,180.10192368207606,DETECTED,180.1019173321277,ESTIMATED,180.10197059473592,ESTIMATED,180.10183216479385,DETECTED,180.1019608645029,
142,289.08969946251227,0.81459045,213,,,,,,,UNKNOWN,0,ESTIMATED,289.0899825201355,DETECTED,289.08972951409356,ESTIMATED,289.090202512886,ESTIMATED,289.0898005615193,ESTIMATED,289.08947397836283,ESTIMATED,289.08988997464235,DETECTED,289.0896753487714,DETECTED,289.0896005652422,DETECTED,289.0895334090221,DETECTED,289.08965253530374,ESTIMATED,289.08936312421736,DETECTED,289.08948950595124,
144,375.17657428902174,0.814521,,,,,,,,UNKNOWN,0,ESTIMATED,375.17693510477477,ESTIMATED,375.17675260876825,ESTIMATED,375.17719041095205,ESTIMATED,375.1767666071976,ESTIMATED,375.17635755414267,ESTIMATED,375.1766849831296,ESTIMATED,375.17657339623383,ESTIMATED,375.17635421093007,ESTIMATED,375.1763222428186,DETECTED,375.176471188983,ESTIMATED,375.17618626158173,ESTIMATED,375.1762968987485,
147,391.12187900451977,0.8156809,213,,,,,,,UNKNOWN,0,ESTIMATED,391.12249010885347,ESTIMATED,391.1219709641556,ESTIMATED,391.12244655256524,ESTIMATED,391.1220276040588,ESTIMATED,391.12163582488864,ESTIMATED,391.12213797729976,ESTIMATED,391.12191938382136,ESTIMATED,391.1217093657947,DETECTED,391.1216776001263,ESTIMATED,391.12162695892425,ESTIMATED,391.12123444631044,DETECTED,391.12167126743833,
149,439.14295426470585,0.82710886,,,,,,,,UNKNOWN,0,UNKNOWN,0,ESTIMATED,439.1435033759608,ESTIMATED,439.14392072350415,UNKNOWN,0,ESTIMATED,439.1433478332841,UNKNOWN,0,DETECTED,439.14293428765444,DETECTED,439.1427920580337,DETECTED,439.1426237559823,ESTIMATED,439.1426182982863,ESTIMATED,439.1423873159401,ESTIMATED,439.1424607337065,
152,277.0897726128501,0.83632374,,,,,,,,UNKNOWN,0,ESTIMATED,277.09003045340535,ESTIMATED,277.0899244089335,ESTIMATED,277.09016634948046,ESTIMATED,277.0898564999786,ESTIMATED,277.08957272619875,ESTIMATED,277.0899483058532,ESTIMATED,277.0897743540174,DETECTED,277.08966424138487,ESTIMATED,277.08956801623646,ESTIMATED,277.0896671045343,ESTIMATED,277.08948984671576,DETECTED,277.0896090474625,
154,341.0515921653046,0.83795345,,,,,,,,UNKNOWN,0,UNKNOWN,0,ESTIMATED,341.0518220183952,ESTIMATED,341.0521666300875,UNKNOWN,0,ESTIMATED,341.0513796915731,UNKNOWN,0,DETECTED,341.05173150048205,ESTIMATED,341.0515641083434,DETECTED,341.0514717904569,DETECTED,341.0514788971933,DETECTED,341.05125034692804,DETECTED,341.0514645042819,
155,365.105981897097,0.83686525,,,,,,,,UNKNOWN,0,DETECTED,365.1062558272944,DETECTED,365.1061187749312,DETECTED,365.10646838343166,DETECTED,365.1062554362017,DETECTED,365.10578832027204,DETECTED,365.10618338033674,DETECTED,365.10606747782015,ESTIMATED,365.1059300856522,DETECTED,365.1057527990143,DETECTED,365.10577491101327,DETECTED,365.1055332933426,ESTIMATED,365.1056540758547,
158,206.11776130961957,0.84699965,,,,,,,,UNKNOWN,0,ESTIMATED,206.11780386836818,ESTIMATED,206.11789289190386,ESTIMATED,206.11806805668863,UNKNOWN,0,ESTIMATED,206.1176890884986,UNKNOWN,0,ESTIMATED,206.11784122380874,ESTIMATED,206.1176740556587,DETECTED,206.1176479121696,ESTIMATED,206.1177494684364,DETECTED,206.1175816830853,DETECTED,206.117664847578,
159,164.92063197599404,0.8600964,,,,,,,,ESTIMATED,164.92055511232638,DETECTED,164.92079092995667,ESTIMATED,164.92069348580895,DETECTED,164.9208434320171,DETECTED,164.92067826442982,ESTIMATED,164.92054116604032,DETECTED,164.92069051541222,DETECTED,164.9206955622366,DETECTED,164.920594245491,DETECTED,164.92051960591112,DETECTED,164.92059440720823,DETECTED,164.92046748800743,DETECTED,164.9205514730767,
160,260.11325809733165,0.9111863,,,,,,,,UNKNOWN,0,DETECTED,260.1134593535883,DETECTED,260.1132678838991,DETECTED,260.1136213814593,DETECTED,260.1133081408814,DETECTED,260.11307277232163,DETECTED,260.11332622390415,DETECTED,260.11335258270145,DETECTED,260.1131950293269,DETECTED,260.1131215670123,ESTIMATED,260.1132440333127,ESTIMATED,260.1130173376581,ESTIMATED,260.11311086191427,
