,Feature,Importance,Mean Decrease Accuracy,Std Decrease Accuracy
8360,X89168_871.572_11.876_Pheophytin a;Chlorophyll a,0.002481225366661273,0.008888888888888901,0.010886621079036363
5341,X64690_225.148_8.37_nan,0.0023410697212658833,0.0044444444444444505,0.008888888888888901
6783,X76840_342.227_9.953_nan,0.0023206245464499195,0.008888888888888901,0.010886621079036363
8572,X90127_1221.344_12.04_nan;Contaminant vial septum ThermoFisher C5000-44B,0.0022637682047537654,0.011111111111111127,0.011111111111111127
2607,X33200_260.196_4.886_nan,0.002228405119152534,0.0,0.0
4773,X59498_254.143_7.665_Irgarol,0.002088895293508234,0.0,0.0
8639,X90428_1221.344_12.376_nan;Contaminant vial septum ThermoFisher C5000-44B,0.002076360964456318,0.0,0.0
8996,X92133_871.572_12.965_Pheophytin a;Chlorophyll a,0.002028426916547842,0.0,0.0
4743,X59188_312.231_7.625_nan,0.001998798962386269,0.0,0.0
4917,X60857_587.411_7.849_nan,0.0019017923152639096,0.0,0.0
7871,X86594_755.487_11.127_nan,0.0018491516559155888,0.0,0.0
4189,X54129_381.808_6.99_nan,0.001829142709246709,0.0,0.0
6864,X77559_293.174_10.026_nan;dihydroauroglaucin,0.0018070492610919734,0.0,0.0
4360,X55803_310.216_7.197_nan,0.0017995791067793876,0.0,0.0
8521,"X89858_1222.343_12.055_nan;(2S,3S,4S,5R,6R)-6-[[(3S,4S,6aR,6bS,8R,8aR,9R,10R,12aS,14bR)-8a-(acetyloxymethyl)-8,9-dihydroxy-4-(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-10-[(E)-2-methylbut-2-enoyl]oxy-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-4-hydroxy-3,5-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]oxane-2-carboxylic acid",0.0017910092699518416,0.0,0.0
2022,X23535_535.018_4.137_nan,0.0017639238109600163,-0.0022222222222222144,0.006666666666666643
4383,X55979_529.37_7.232_nan,0.0017264403396447302,0.0,0.0
4324,X55328_312.232_7.138_nan,0.0017103832321482403,0.0,0.0
2856,X37281_272.164_5.298_nan,0.001640194270833309,-0.006666666666666643,0.010183501544346276
4123,X53604_426.866_6.925_nan,0.0015675550042638,0.0,0.0
4253,X54684_180.138_7.059_nan,0.0015632281259205746,0.0,0.0
3153,X41933_520.332_5.702_nan,0.0015478971893720433,0.0,0.0
6016,X70111_652.317_9.196_nan,0.0014939503575138065,0.0,0.0
1341,X13685_238.093_3.249_nan,0.0014898461514196723,0.0,0.0
7511,X83280_732.576_10.633_nan;DGTSA(16:0/16:4); [M+H]+ C42H74N1O7,0.0014679771931869054,0.008888888888888901,0.010886621079036363
6423,X73725_493.279_9.664_nan,0.0014649115824389562,0.0,0.0
8677,X90590_871.572_12.385_Pheophytin a;Chlorophyll a,0.0014514521846413543,0.0,0.0
8553,X90002_1220.343_12.137_nan;Contaminant vial septum ThermoFisher C5000-44B,0.001438172952138238,0.0,0.0
2891,X37866_916.568_5.35_nan,0.0014236054533490472,0.0,0.0
1222,X11821_178.122_3.041_nan,0.0014086531628361141,0.0,0.0
8647,"X90453_1222.343_12.419_nan;(2S,3S,4S,5R,6R)-6-[[(3S,4S,6aR,6bS,8R,8aR,9R,10R,12aS,14bR)-8a-(acetyloxymethyl)-8,9-dihydroxy-4-(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-10-[(E)-2-methylbut-2-enoyl]oxy-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-4-hydroxy-3,5-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]oxane-2-carboxylic acid",0.0013722520648719655,0.0,0.0
5617,X66872_509.274_8.697_nan,0.0013551141328519676,0.0,0.0
6916,X77957_302.305_10.091_nan;Spectral Match to D-erythro-Sphinganine from NIST14,0.0013389988756212598,0.0,0.0
8445,"X89535_1223.342_12.013_nan;(2S,3S,4S,5R,6R)-6-[[(3S,4S,6aR,6bS,8R,8aR,9R,10R,12aS,14bR)-8a-(acetyloxymethyl)-8,9-dihydroxy-4-(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-10-[(E)-2-methylbut-2-enoyl]oxy-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-4-hydroxy-3,5-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]oxane-2-carboxylic acid",0.0013265877290025308,0.0,0.0
6762,X76650_528.158_9.951_nan,0.0013216055426456589,0.0,0.0
4140,X53771_383.806_6.95_nan,0.0012218165338822352,0.0,0.0
5762,"X67923_214.216_8.859_nan;Spectral Match to cis,cis-9,12-Octadecadien-1-ol from NIST14",0.0012160071349056594,0.0,0.0
5355,X64784_602.447_8.385_nan,0.001197879638699515,0.0,0.0
5296,X64382_480.962_8.331_nan,0.0011925432526167046,0.0,0.0
7040,X79387_209.153_10.22_nan;(.+/-.)-trans-Nerolidol - 40.0 eV,0.001167774069715316,0.0,0.0
7059,X79525_704.546_10.549_nan;DGTSA(14:0/18:1); [M+H]+ C42H80N1O7,0.0011664767543792928,0.0,0.0
4331,X55430_449.201_7.163_nan,0.0011590719969387308,0.0,0.0
3585,X47649_336.162_6.256_nan,0.00115098061532363,0.0,0.0
4326,X55344_466.228_7.149_nan,0.001148564025609973,0.0,0.0
7496,X83124_291.195_10.586_nan,0.001145387571152383,0.006666666666666677,0.010183501544346326
5292,X64360_482.958_8.33_nan,0.001140342998876256,0.0,0.0
5237,X63776_310.216_8.237_nan,0.0011382994488084303,0.0,0.0
5862,X68786_660.489_8.998_nan,0.0010798810463867592,0.0,0.0
6963,X78552_189.127_10.145_nan;Spectral Match to Jasmine lactone from NIST14,0.0010780852897365112,0.013333333333333353,0.010886621079036363
8917,"X91776_832.24_12.836_nan;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",0.0010776822011775817,0.0,0.0
3785,X49674_521.329_6.481_nan,0.001052147344510641,0.0,0.0
7766,X85855_410.29_11.031_nan,0.0010304219533234726,0.0044444444444444505,0.008888888888888901
367,X2478_264.123_1.126_nan,0.0010284492095331424,0.0,0.0
6368,X73237_371.327_9.576_nan;Spectral Match to Heptadecasphing-4-enine from NIST14,0.001009757637030841,0.0,0.0
5619,X66878_421.282_8.706_nan,0.000997736771631215,0.0,0.0
6697,X76069_325.2_10.038_nan;2'-Hydroxy-a-naphthoflavone CollisionEnergy:205060,0.0009953061311922758,0.0,0.0
2986,X39401_170.117_5.489_nan;8-AMINOOCTANOIC ACID,0.000994484750133007,0.0,0.0
1726,X19083_280.154_3.807_nan;Isovalerylcarnitine - 40.00 eV,0.0009942788090643035,0.0,0.0
2340,X28738_353.159_4.636_nan,0.000985731092453484,0.006666666666666677,0.010183501544346326
2949,X38623_287.232_5.423_nan,0.0009696015710734679,0.0,0.0
6260,X72308_718.531_9.467_nan,0.0009592653758884413,0.0,0.0
6846,X77383_237.112_10.022_nan,0.000951108381513277,0.0,0.0
4232,X54437_530.389_7.119_nan,0.0009461662813227444,0.0,0.0
4045,X52780_302.232_6.83_nan;Massbank:RP024902 Decanoyl-L-Carnitine|Decanoylcarnitine|3-decanoyloxy-4-(trimethylazaniumyl)butanoate,0.0009372293757194581,0.0022222222222222253,0.006666666666666676
4246,X54623_486.363_7.052_nan,0.0009365837218604328,0.0,0.0
957,X7899_230.149_2.785_nan,0.0009302403755581627,0.0,0.0
5435,X65425_645.453_8.477_nan,0.0009077871466146688,0.0,0.0
8291,"X88761_906.258_11.786_nan;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",0.0009030821717904392,0.0,0.0
1023,X8927_598.27_2.723_nan,0.000902058610371288,0.0,0.0
38,X180_182.033_0.675_nan,0.000891692814081598,0.0,0.0
7237,X80950_313.273_10.391_nan,0.0008900264950786027,0.0,0.0
2666,X34250_200.175_5.064_nan,0.0008865289774649715,0.0,0.0
7702,X85234_704.546_10.798_nan,0.0008853733377948626,0.0,0.0
7086,X79714_207.174_10.272_nan;b-Caryophyllene oxide,0.0008652278197771834,0.0,0.0
7398,X82429_430.295_10.594_nan,0.0008648805296518582,0.0,0.0
4821,X59950_549.36_7.726_nan,0.0008583371858031467,0.0,0.0
5391,X65021_345.169_8.395_nan,0.0008498346141991339,0.0,0.0
5432,X65395_520.343_8.472_nan,0.0008478882654621654,0.0,0.0
6974,X78606_399.358_10.16_nan;Massbank: Myristamidopropyl betaine|carboxymethyl-dimethyl-[3-(tetradecanoylamino)propyl]azanium,0.0008415222171641331,0.011111111111111127,0.011111111111111127
5843,X68664_704.515_8.977_nan,0.0008315079346080737,0.0,0.0
291,X1993_194.103_0.951_nan,0.000830502069705255,0.0,0.0
6571,X74958_901.367_9.766_nan,0.0008267654890476778,0.0,0.0
6793,X76946_540.41_9.978_nan,0.0008232322627059453,0.0,0.0
7711,X85298_537.535_10.8_nan,0.000807155071113365,0.0,0.0
7472,X82929_507.329_10.651_nan,0.000806914138169249,0.0,0.0
2147,X25460_224.15_4.304_nan,0.0008058812521232598,0.0,0.0
8018,X87522_432.31_11.375_nan,0.0007964288184881885,0.0,0.0
3058,X40562_353.253_5.585_nan,0.0007934702770130313,0.0,0.0
8701,"X90725_982.276_12.376_nan;[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] 9-(hydroxymethyl)-2,2,6a,6b,9,12a-hexamethyl-10-[3,4,5-trihydroxy-6-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxymethyl]oxan-2-yl]oxy-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate",0.0007921863082873511,0.0,0.0
3279,X43754_397.022_5.862_nan,0.0007907720378975544,0.0,0.0
170,X1228_157.939_0.7_nan,0.0007896304948912576,0.0,0.0
1892,X21661_285.152_3.977_nan,0.0007851711816117325,0.0,0.0
8688,X90662_1296.362_12.49_nan;Contaminant vial septum ThermoFisher C5000-44B,0.0007845634534767417,0.0,0.0
5876,X68885_270.206_9.017_nan,0.0007819331876670095,0.0,0.0
2974,X39183_410.265_5.474_nan,0.00077770316236696,0.0,0.0
8164,X88265_772.273_11.599_nan;PC(17:1/18:1); [M+H]+ C43H83N1O8P1,0.000772709703897731,0.0,0.0
7492,X83083_590.369_10.66_nan,0.0007719932099813548,0.0,0.0
7005,"X78984_219.174_10.107_nan;Massbank:AC000287 Walleminone|(1R,4S,5S,6R,9R)-5,6-dihydroxy-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undecan-3-one",0.0007678627596464691,0.0,0.0
6737,X76454_448.338_9.935_nan,0.0007627399073165595,0.0,0.0
6322,X72920_197.153_9.462_nan,0.0007600838347557289,0.0,0.0
8968,X92029_1220.345_12.929_nan;Contaminant vial septum ThermoFisher C5000-44B,0.0007595299800823436,0.0,0.0
3481,X46458_380.191_6.115_nan,0.000755326562146243,0.0,0.0
5825,X68554_370.204_8.964_nan,0.0007510691756992518,0.0,0.0
5255,X64017_522.186_8.273_nan,0.0007493236730615034,0.0,0.0
4431,X56362_301.07_7.267_nan,0.0007490419528530325,0.0,0.0
2401,X29732_307.164_4.662_nan;Massbank:LU077002 3-Hydroxy-4-butyrophenetidide|Bucetin|N-(4-ethoxyphenyl)-3-hydroxybutanamide,0.000742243558777155,0.0044444444444444505,0.008888888888888901
5892,X69022_590.403_9.055_nan,0.0007386178663286934,0.0,0.0
2642,X33796_432.187_4.912_nan,0.0007368077630346325,0.0,0.0
7687,X85047_259.205_10.892_nan;Spectral Match to Sumaresinolic acid from NIST14,0.000734447032471257,0.0,0.0
4144,X53803_377.812_6.957_nan,0.0007289179186768949,0.0,0.0
334,X2299_355.113_0.997_nan,0.0007287220259668073,0.0,0.0
6389,X73484_247.169_9.596_nan,0.0007266362696339679,0.0,0.0
2797,X36504_214.191_5.227_nan,0.0007266283533484151,0.0,0.0
8030,X87562_869.556_11.389_nan;Chlorophyll a,0.0007265568502686127,0.0,0.0
8715,X90811_361.079_12.46_nan,0.0007207194460824014,0.0,0.0
7459,X82817_389.231_10.62_nan,0.0007199779987124118,0.0,0.0
6637,"X75508_242.247_9.817_nan;Spectral Match to cis,cis-9,12-Octadecadien-1-ol from NIST14",0.0007171348326673845,0.0,0.0
6704,X76145_987.403_9.903_nan,0.0007164952612902447,0.0,0.0
7097,X79806_964.437_10.283_nan,0.0007155473317842126,0.0,0.0
2701,X34779_301.07_5.087_nan,0.0007125979110967626,0.0,0.0
8767,X91050_1146.325_12.486_nan;Contaminant vial septum ThermoFisher C5000-44B,0.0007117404556479882,0.0,0.0
6840,X77315_521.384_10.015_nan,0.0007108519949827664,0.0,0.0
1093,X9884_190.05_2.832_nan,0.0007085547063199025,0.0,0.0
8275,X88704_522.487_11.78_nan;Cer(d18:2/20:1); [M+H]+ C38H72N1O3,0.0007064916675998198,0.0,0.0
5676,X67272_313.179_8.756_nan,0.0006993117270768966,0.0,0.0
6900,X77866_181.158_10.071_nan;Spectral Match to Curcumol from NIST14,0.000698878095989088,0.0,0.0
7432,X82654_235.169_10.611_nan,0.0006977591912654389,0.0,0.0
5629,X66919_638.301_8.697_nan,0.0006962470953085541,0.0,0.0
4469,X56711_335.221_7.307_nan,0.0006920431543983338,0.0,0.0
7490,X83070_564.421_10.663_nan,0.0006914513262061552,0.0,0.0
6360,X73202_268.263_9.573_nan;Gly-C14:0,0.0006883559841667366,0.0,0.0
6108,X70856_806.583_9.292_nan,0.0006866488537902337,0.0,0.0
8348,"X89098_832.239_11.887_nan;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",0.0006811795845351091,0.0,0.0
14,X58_241.999_0.549_nan,0.000678831465186015,0.0,0.0
7947,X87143_773.273_11.265_nan,0.0006786298877818768,0.0,0.0
9086,X92596_322.237_13.562_nan,0.0006781240676268547,0.0,0.0
7927,"X87024_1129.314_11.342_nan;(2S,3S,4S,5R,6R)-6-[[(3S,4S,6aR,6bS,8R,8aR,9R,10R,12aS,14bR)-10-acetyloxy-8a-(acetyloxymethyl)-8,9-dihydroxy-4-(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-4-hydroxy-3,5-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]oxane-2-carboxylic acid",0.0006754304541745115,0.0,0.0
4784,X59596_632.458_7.678_nan,0.0006752900984589069,0.0,0.0
6504,X74469_820.599_9.71_nan,0.0006750511787078081,0.0,0.0
7162,X80462_389.231_10.349_nan,0.0006737192716028721,0.0,0.0
8792,X91167_1442.399_12.598_nan,0.0006728799612007213,0.0,0.0
5901,X69098_616.463_9.053_nan,0.0006710009303003823,0.0,0.0
8146,X88168_907.259_11.653_nan;THEAFLAVIN DIGALLATE,0.0006672345406594787,0.0,0.0
3780,X49622_516.374_6.507_nan,0.0006628824134548093,0.0,0.0
2254,X27240_318.206_4.572_nan,0.0006611407326806316,0.0,0.0
3246,X43340_303.133_5.821_nan,0.0006553658854096998,0.0,0.0
6091,X70687_435.273_9.295_nan,0.0006545914537824733,0.0,0.0
5348,X64724_646.473_8.372_nan,0.0006543876731133727,0.0,0.0
7363,X82124_413.268_10.607_nan,0.0006497066985051148,0.0,0.0
7037,X79350_309.205_10.218_nan;Massbank:NA002994 [6]-Gingerol|5-hydroxy-1-(4-hydroxy-3-methoxyphenyl)decan-3-one,0.0006480537578140448,0.0,0.0
2278,X27704_285.123_4.487_nan,0.0006478653551522248,0.0,0.0
4112,X53482_428.864_6.913_nan,0.000644394335423551,0.0,0.0
2405,X29883_235.126_4.674_nan,0.0006425784938711696,0.0,0.0
6147,X71199_641.498_9.328_nan,0.000631206218882637,0.0,0.0
7264,X81197_494.277_10.447_nan,0.0006279760472102842,0.0,0.0
1026,X9009_178.122_2.729_nan,0.0006265027867908935,0.0,0.0
6564,X74884_776.573_9.755_nan,0.0006250489140815976,0.0,0.0
2469,X30941_317.194_4.764_nan,0.0006239047716627794,0.0,0.0
2636,X33717_339.237_5.001_nan,0.0006130582995130515,0.0,0.0
2575,X32620_410.265_4.901_nan,0.0006078735037443406,0.0,0.0
3204,X42679_458.332_5.88_nan,0.000607208092370921,0.0,0.0
3051,X40469_214.112_5.571_nan,0.0006004634513668886,0.0,0.0
2183,X26133_356.17_4.439_nan,0.0006004165660236939,0.0,0.0
6741,X76511_878.641_9.937_nan,0.0005989470810821307,0.0,0.0
7936,"X87068_1222.344_11.281_nan;(2S,3S,4S,5R,6R)-6-[[(3S,4S,6aR,6bS,8R,8aR,9R,10R,12aS,14bR)-8a-(acetyloxymethyl)-8,9-dihydroxy-4-(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-10-[(E)-2-methylbut-2-enoyl]oxy-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-4-hydroxy-3,5-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]oxane-2-carboxylic acid",0.0005977173396319878,0.0,0.0
1813,X20279_416.155_3.775_nan,0.0005963805742516535,0.0,0.0
6366,X73232_815.33_9.575_nan,0.0005947347949356685,0.0,0.0
7430,X82650_531.33_10.611_nan,0.0005938762050134603,0.0,0.0
6581,X75108_510.306_9.784_nan,0.0005932568330734759,0.0,0.0
4412,X56231_484.347_7.252_nan,0.0005921862900956748,0.0,0.0
4321,X55304_471.183_7.142_nan,0.0005921680100193816,0.0044444444444444505,0.008888888888888901
1871,X21089_374.181_3.928_nan,0.000589153459902872,0.0,0.0
1049,X9337_208.119_2.767_nan,0.0005888606837633236,0.0,0.0
2955,X38795_291.18_5.551_nan,0.0005882543033205245,0.0,0.0
6927,X78052_547.325_10.093_nan,0.0005881107879184795,0.0,0.0
2135,X25277_218.139_4.293_nan,0.0005874685016905238,0.0,0.0
1652,X17856_339.143_3.635_nan,0.0005868382475718255,0.0,0.0
5983,X69848_643.386_9.168_nan,0.000586283871983448,0.0,0.0
4193,X54153_379.81_6.988_nan,0.0005855818281573252,0.0,0.0
7784,X85994_871.572_11.022_Pheophytin a;Chlorophyll a,0.0005840508934706738,0.0,0.0
7508,"X83265_249.185_10.686_nan;NCGC00179704-04_C15H24O3_2-Naphthaleneacetic acid, decahydro-8-hydroxy-4a,8-dimethyl-alpha-methylene-",0.0005830793022642766,0.0,0.0
7319,X81674_892.417_10.516_nan,0.0005826643506194605,0.0,0.0
7488,X83063_655.435_10.596_nan,0.0005801959985801147,0.0,0.0
8324,X88951_1222.343_11.853_nan;Contaminant vial septum ThermoFisher C5000-44B,0.0005783976166331534,0.0,0.0
2980,X39272_202.144_5.478_nan;Spectral Match to Azelaic acid from NIST14,0.0005740202155191297,0.0,0.0
85,X446_250.144_0.639_nan,0.0005740023162591942,0.0,0.0
7644,X84582_474.378_10.728_nan;Spectral Match to 1-Hexadecanoyl-2-sn-glycero-3-phosphate from NIST14,0.0005733756828176471,0.0,0.0
4640,X58341_530.936_7.518_nan,0.0005729221882458507,0.017777777777777802,0.008888888888888901
2973,X39156_420.274_5.464_nan,0.0005728551400742389,0.0,0.0
3677,X48427_433.277_6.34_nan,0.0005723833909954822,0.0,0.0
3368,X44925_472.311_6.095_nan,0.0005721160775005152,0.0,0.0
314,X2140_267.097_0.989_nan,0.0005720484546915623,0.0,0.0
3958,X51762_332.187_6.709_nan,0.0005639719044111898,0.0,0.0
4600,X57939_548.934_7.464_nan,0.0005632920976387897,0.0,0.0
70,X282_261.108_0.615_nan,0.0005626090274516928,0.0,0.0
7574,X83901_430.389_10.758_nan,0.0005610423740347677,0.0,0.0
3531,X47253_300.195_6.208_nan,0.000560639069532315,0.0,0.0
553,X3568_210.098_1.724_nan,0.0005604410778435694,0.0,0.0
2769,X35962_243.087_5.191_nan,0.0005598403387501856,0.0,0.0
3216,X42869_612.374_5.772_nan,0.0005547444426492289,0.0,0.0
15,X65_169.046_0.55_nan,0.0005537080140878831,0.0,0.0
6711,X76223_982.448_9.906_nan,0.0005520902623628167,0.0,0.0
8702,"X90734_833.24_12.432_nan;2,2,6b,9,9,12a-hexamethyl-4a-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-10-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-6a-carboxylic acid",0.000551007295677277,0.0,0.0
1761,X19529_460.311_3.79_nan;Spectral Match to Undecaethylene glycol from NIST14,0.0005495758965544952,0.0,0.0
4514,X57080_314.247_7.36_nan,0.0005489706744634182,0.0,0.0
1002,X8575_402.176_2.68_nan,0.0005464992053136891,0.0,0.0
3094,X41208_344.222_5.634_nan,0.0005460551375382453,0.0,0.0
7386,X82320_582.327_10.57_nan,0.0005446044445527662,0.0,0.0
6992,X78819_425.289_10.179_nan,0.0005441919582046789,0.0,0.0
7374,X82235_367.247_10.624_nan;2'-Hydroxy-a-naphthoflavone CollisionEnergy:102040,0.0005434697702714304,0.0,0.0
982,X8250_165.066_2.64_nan,0.0005397925358680432,-0.0022222222222222144,0.006666666666666643
1367,X13982_232.202_3.272_nan,0.0005393475779483206,0.0,0.0
5043,X61977_319.19_8.014_nan,0.0005389792431742506,0.0,0.0
835,X6475_326.143_2.484_nan,0.0005385452026369691,0.0,0.0
7211,X80743_950.697_10.382_nan,0.0005370022830721402,0.0,0.0
8016,X87520_698.541_11.372_nan,0.0005349678595386964,0.0,0.0
6438,X73867_402.336_9.644_nan,0.0005346355026499383,0.0,0.0
8060,X87752_326.378_11.46_nan,0.000532863477855097,0.0,0.0
6351,X73118_225.148_9.453_nan,0.0005283614548439675,0.0,0.0
4309,X55185_327.275_7.113_nan,0.0005275962541661429,0.0,0.0
3669,X48332_411.295_6.331_nan,0.0005262166218842741,0.0,0.0
8329,X88985_584.42_11.862_nan;Massbank:MSJ00121 Antheraxanthin,0.0005257721337788791,0.0,0.0
2634,X33657_215.11_4.921_nan,0.0005251976365374666,0.0,0.0
